Date,Hours,SE1
1/1/2018,00 - 01,258.86
1/1/2018,01 - 02,259.85
1/1/2018,02 - 03,256.6
1/1/2018,03 - 04,242.84
1/1/2018,04 - 05,243.23
1/1/2018,05 - 06,177.07
1/1/2018,06 - 07,174.8
1/1/2018,07 - 08,175
1/1/2018,08 - 09,194.27
1/1/2018,09 - 10,203.81
1/1/2018,10 - 11,243.43
1/1/2018,11 - 12,252.47
1/1/2018,12 - 13,236.84
1/1/2018,13 - 14,245.89
1/1/2018,14 - 15,253.75
1/1/2018,15 - 16,260.14
1/1/2018,16 - 17,265.75
1/1/2018,17 - 18,269.68
1/1/2018,18 - 19,268.3
1/1/2018,19 - 20,265.06
1/1/2018,20 - 21,262.5
1/1/2018,21 - 22,260.24
1/1/2018,22 - 23,256.5
1/1/2018,23 - 00,244.61
2/1/2018,00 - 01,248.54
2/1/2018,01 - 02,227.7
2/1/2018,02 - 03,243.62
2/1/2018,03 - 04,246.08
2/1/2018,04 - 05,252.96
2/1/2018,05 - 06,263.88
2/1/2018,06 - 07,273.32
2/1/2018,07 - 08,299.86
2/1/2018,08 - 09,313.92
2/1/2018,09 - 10,329.65
2/1/2018,10 - 11,344.5
2/1/2018,11 - 12,346.27
2/1/2018,12 - 13,339.78
2/1/2018,13 - 14,335.25
2/1/2018,14 - 15,353.74
2/1/2018,15 - 16,374.09
2/1/2018,16 - 17,409.68
2/1/2018,17 - 18,416.76
2/1/2018,18 - 19,371.53
2/1/2018,19 - 20,331.32
2/1/2018,20 - 21,303.6
2/1/2018,21 - 22,283.64
2/1/2018,22 - 23,275.18
2/1/2018,23 - 00,271.35
3/1/2018,00 - 01,266.13
3/1/2018,01 - 02,261.12
3/1/2018,02 - 03,257.69
3/1/2018,03 - 04,257.39
3/1/2018,04 - 05,259.26
3/1/2018,05 - 06,269.56
3/1/2018,06 - 07,277.81
3/1/2018,07 - 08,284.09
3/1/2018,08 - 09,286.54
3/1/2018,09 - 10,287.32
3/1/2018,10 - 11,288.7
3/1/2018,11 - 12,287.03
3/1/2018,12 - 13,286.83
3/1/2018,13 - 14,289.39
3/1/2018,14 - 15,293.02
3/1/2018,15 - 16,299.39
3/1/2018,16 - 17,307.44
3/1/2018,17 - 18,309.99
3/1/2018,18 - 19,302.04
3/1/2018,19 - 20,295.86
3/1/2018,20 - 21,288.21
3/1/2018,21 - 22,283.89
3/1/2018,22 - 23,276.04
3/1/2018,23 - 00,267.99
4/1/2018,00 - 01,265.69
4/1/2018,01 - 02,263.04
4/1/2018,02 - 03,259.99
4/1/2018,03 - 04,260.19
4/1/2018,04 - 05,261.27
4/1/2018,05 - 06,265.3
4/1/2018,06 - 07,275.41
4/1/2018,07 - 08,298.89
4/1/2018,08 - 09,322.46
4/1/2018,09 - 10,343.48
4/1/2018,10 - 11,368.82
4/1/2018,11 - 12,353.8
4/1/2018,12 - 13,348.98
4/1/2018,13 - 14,346.72
4/1/2018,14 - 15,351.93
4/1/2018,15 - 16,371.57
4/1/2018,16 - 17,383.36
4/1/2018,17 - 18,370.4
4/1/2018,18 - 19,344.07
4/1/2018,19 - 20,313.03
4/1/2018,20 - 21,302.33
4/1/2018,21 - 22,297.32
4/1/2018,22 - 23,291.03
4/1/2018,23 - 00,275.51
5/1/2018,00 - 01,269.01
5/1/2018,01 - 02,264.59
5/1/2018,02 - 03,260.37
5/1/2018,03 - 04,260.37
5/1/2018,04 - 05,264.1
5/1/2018,05 - 06,271.77
5/1/2018,06 - 07,281.49
5/1/2018,07 - 08,299.08
5/1/2018,08 - 09,319.61
5/1/2018,09 - 10,329.34
5/1/2018,10 - 11,327.28
5/1/2018,11 - 12,324.04
5/1/2018,12 - 13,323.05
5/1/2018,13 - 14,322.66
5/1/2018,14 - 15,322.95
5/1/2018,15 - 16,329.14
5/1/2018,16 - 17,344.86
5/1/2018,17 - 18,366.48
5/1/2018,18 - 19,334.06
5/1/2018,19 - 20,316.86
5/1/2018,20 - 21,309.59
5/1/2018,21 - 22,307.04
5/1/2018,22 - 23,299.08
5/1/2018,23 - 00,291.22
6/1/2018,00 - 01,289.28
6/1/2018,01 - 02,280.44
6/1/2018,02 - 03,276.81
6/1/2018,03 - 04,275.04
6/1/2018,04 - 05,276.51
6/1/2018,05 - 06,281.91
6/1/2018,06 - 07,289.58
6/1/2018,07 - 08,298.12
6/1/2018,08 - 09,298.42
6/1/2018,09 - 10,303.52
6/1/2018,10 - 11,313.25
6/1/2018,11 - 12,322.78
6/1/2018,12 - 13,316
6/1/2018,13 - 14,312.27
6/1/2018,14 - 15,312.07
6/1/2018,15 - 16,324.64
6/1/2018,16 - 17,358.24
6/1/2018,17 - 18,358.83
6/1/2018,18 - 19,338.4
6/1/2018,19 - 20,313.64
6/1/2018,20 - 21,305.1
6/1/2018,21 - 22,301.76
6/1/2018,22 - 23,294.49
6/1/2018,23 - 00,285.16
7/1/2018,00 - 01,270.5
7/1/2018,01 - 02,254.02
7/1/2018,02 - 03,253.93
7/1/2018,03 - 04,256.57
7/1/2018,04 - 05,260.89
7/1/2018,05 - 06,266.19
7/1/2018,06 - 07,269.03
7/1/2018,07 - 08,271.58
7/1/2018,08 - 09,273.93
7/1/2018,09 - 10,277.86
7/1/2018,10 - 11,282.37
7/1/2018,11 - 12,283.94
7/1/2018,12 - 13,284.04
7/1/2018,13 - 14,277.27
7/1/2018,14 - 15,277.47
7/1/2018,15 - 16,280.7
7/1/2018,16 - 17,288.16
7/1/2018,17 - 18,302.87
7/1/2018,18 - 19,309.05
7/1/2018,19 - 20,305.22
7/1/2018,20 - 21,293.84
7/1/2018,21 - 22,283.84
7/1/2018,22 - 23,283.45
7/1/2018,23 - 00,270.4
8/1/2018,00 - 01,245.49
8/1/2018,01 - 02,235
8/1/2018,02 - 03,234.6
8/1/2018,03 - 04,249.91
8/1/2018,04 - 05,256.18
8/1/2018,05 - 06,274.23
8/1/2018,06 - 07,290.51
8/1/2018,07 - 08,321.01
8/1/2018,08 - 09,323.46
8/1/2018,09 - 10,327
8/1/2018,10 - 11,324.25
8/1/2018,11 - 12,325.13
8/1/2018,12 - 13,324.25
8/1/2018,13 - 14,322.68
8/1/2018,14 - 15,324.05
8/1/2018,15 - 16,325.62
8/1/2018,16 - 17,327.58
8/1/2018,17 - 18,322.68
8/1/2018,18 - 19,318.76
8/1/2018,19 - 20,305.61
8/1/2018,20 - 21,291.1
8/1/2018,21 - 22,283.64
8/1/2018,22 - 23,279.43
8/1/2018,23 - 00,275.5
9/1/2018,00 - 01,266.59
9/1/2018,01 - 02,248.14
9/1/2018,02 - 03,248.24
9/1/2018,03 - 04,260.8
9/1/2018,04 - 05,267.47
9/1/2018,05 - 06,277.18
9/1/2018,06 - 07,284.44
9/1/2018,07 - 08,309.46
9/1/2018,08 - 09,319.18
9/1/2018,09 - 10,316.53
9/1/2018,10 - 11,315.25
9/1/2018,11 - 12,317.12
9/1/2018,12 - 13,314.37
9/1/2018,13 - 14,312.02
9/1/2018,14 - 15,308.78
9/1/2018,15 - 16,308.09
9/1/2018,16 - 17,316.43
9/1/2018,17 - 18,322.51
9/1/2018,18 - 19,318.29
9/1/2018,19 - 20,309.07
9/1/2018,20 - 21,300.14
9/1/2018,21 - 22,295.83
9/1/2018,22 - 23,286.8
9/1/2018,23 - 00,280.23
10/1/2018,00 - 01,283.72
10/1/2018,01 - 02,278.12
10/1/2018,02 - 03,274.68
10/1/2018,03 - 04,270.94
10/1/2018,04 - 05,275.56
10/1/2018,05 - 06,296.5
10/1/2018,06 - 07,329.61
10/1/2018,07 - 08,432.51
10/1/2018,08 - 09,471.52
10/1/2018,09 - 10,471.52
10/1/2018,10 - 11,472.11
10/1/2018,11 - 12,469.56
10/1/2018,12 - 13,462.78
10/1/2018,13 - 14,433.88
10/1/2018,14 - 15,451.77
10/1/2018,15 - 16,460.22
10/1/2018,16 - 17,480.56
10/1/2018,17 - 18,510.05
10/1/2018,18 - 19,517.81
10/1/2018,19 - 20,441.65
10/1/2018,20 - 21,390.35
10/1/2018,21 - 22,351.92
10/1/2018,22 - 23,313.69
10/1/2018,23 - 00,298.17
11/1/2018,00 - 01,304.58
11/1/2018,01 - 02,294.95
11/1/2018,02 - 03,293.28
11/1/2018,03 - 04,294.36
11/1/2018,04 - 05,303.99
11/1/2018,05 - 06,326.48
11/1/2018,06 - 07,364.1
11/1/2018,07 - 08,504.55
11/1/2018,08 - 09,546.59
11/1/2018,09 - 10,541.28
11/1/2018,10 - 11,541.48
11/1/2018,11 - 12,535.98
11/1/2018,12 - 13,519.19
11/1/2018,13 - 14,460.35
11/1/2018,14 - 15,490.21
11/1/2018,15 - 16,513.49
11/1/2018,16 - 17,538.34
11/1/2018,17 - 18,553.76
11/1/2018,18 - 19,548.75
11/1/2018,19 - 20,393.47
11/1/2018,20 - 21,345.14
11/1/2018,21 - 22,325.5
11/1/2018,22 - 23,304.97
11/1/2018,23 - 00,295.25
12/1/2018,00 - 01,293.51
12/1/2018,01 - 02,287.83
12/1/2018,02 - 03,285.68
12/1/2018,03 - 04,285.48
12/1/2018,04 - 05,289.59
12/1/2018,05 - 06,305.44
12/1/2018,06 - 07,325.01
12/1/2018,07 - 08,432.33
12/1/2018,08 - 09,460.61
12/1/2018,09 - 10,433.9
12/1/2018,10 - 11,426.27
12/1/2018,11 - 12,425
12/1/2018,12 - 13,387.23
12/1/2018,13 - 14,368.15
12/1/2018,14 - 15,359.35
12/1/2018,15 - 16,344.38
12/1/2018,16 - 17,387.04
12/1/2018,17 - 18,401.61
12/1/2018,18 - 19,376.47
12/1/2018,19 - 20,323.93
12/1/2018,20 - 21,308.77
12/1/2018,21 - 22,307.69
12/1/2018,22 - 23,297.03
12/1/2018,23 - 00,289
13-01-2018,00 - 01,296.83
13-01-2018,01 - 02,291.71
13-01-2018,02 - 03,287.08
13-01-2018,03 - 04,284.82
13-01-2018,04 - 05,283.44
13-01-2018,05 - 06,285.31
13-01-2018,06 - 07,288.95
13-01-2018,07 - 08,298.11
13-01-2018,08 - 09,303.72
13-01-2018,09 - 10,310.22
13-01-2018,10 - 11,313.17
13-01-2018,11 - 12,313.96
13-01-2018,12 - 13,313.86
13-01-2018,13 - 14,313.56
13-01-2018,14 - 15,309.03
13-01-2018,15 - 16,308.44
13-01-2018,16 - 17,333.94
13-01-2018,17 - 18,373.72
13-01-2018,18 - 19,361.41
13-01-2018,19 - 20,315.73
13-01-2018,20 - 21,301.16
13-01-2018,21 - 22,293.38
13-01-2018,22 - 23,288.85
13-01-2018,23 - 00,283.54
14-01-2018,00 - 01,284.31
14-01-2018,01 - 02,279.79
14-01-2018,02 - 03,276.05
14-01-2018,03 - 04,275.16
14-01-2018,04 - 05,274.18
14-01-2018,05 - 06,275.56
14-01-2018,06 - 07,278.9
14-01-2018,07 - 08,280.87
14-01-2018,08 - 09,283.62
14-01-2018,09 - 10,289.33
14-01-2018,10 - 11,292.58
14-01-2018,11 - 12,296.41
14-01-2018,12 - 13,293.26
14-01-2018,13 - 14,289.62
14-01-2018,14 - 15,294.54
14-01-2018,15 - 16,308.12
14-01-2018,16 - 17,327.3
14-01-2018,17 - 18,334.29
14-01-2018,18 - 19,319.73
14-01-2018,19 - 20,308.71
14-01-2018,20 - 21,300.54
14-01-2018,21 - 22,292.08
14-01-2018,22 - 23,288.54
14-01-2018,23 - 00,283.53
15-01-2018,00 - 01,264.64
15-01-2018,01 - 02,242.11
15-01-2018,02 - 03,227.25
15-01-2018,03 - 04,205.51
15-01-2018,04 - 05,267.1
15-01-2018,05 - 06,282.74
15-01-2018,06 - 07,295.92
15-01-2018,07 - 08,318.25
15-01-2018,08 - 09,329.57
15-01-2018,09 - 10,320.42
15-01-2018,10 - 11,310.28
15-01-2018,11 - 12,298.09
15-01-2018,12 - 13,289.53
15-01-2018,13 - 14,288.15
15-01-2018,14 - 15,289.43
15-01-2018,15 - 16,287.66
15-01-2018,16 - 17,288.74
15-01-2018,17 - 18,295.23
15-01-2018,18 - 19,289.13
15-01-2018,19 - 20,286.87
15-01-2018,20 - 21,283.92
15-01-2018,21 - 22,275.75
15-01-2018,22 - 23,243.09
15-01-2018,23 - 00,162.62
16-01-2018,00 - 01,257.02
16-01-2018,01 - 02,233.82
16-01-2018,02 - 03,200.48
16-01-2018,03 - 04,211.5
16-01-2018,04 - 05,232.93
16-01-2018,05 - 06,274.43
16-01-2018,06 - 07,285.83
16-01-2018,07 - 08,311.2
16-01-2018,08 - 09,322.11
16-01-2018,09 - 10,324.47
16-01-2018,10 - 11,323.69
16-01-2018,11 - 12,324.18
16-01-2018,12 - 13,323.39
16-01-2018,13 - 14,323.49
16-01-2018,14 - 15,323.39
16-01-2018,15 - 16,332.14
16-01-2018,16 - 17,360.26
16-01-2018,17 - 18,351.22
16-01-2018,18 - 19,355.94
16-01-2018,19 - 20,334.21
16-01-2018,20 - 21,312.48
16-01-2018,21 - 22,301.76
16-01-2018,22 - 23,288.88
16-01-2018,23 - 00,274.13
17-01-2018,00 - 01,276.53
17-01-2018,01 - 02,272.7
17-01-2018,02 - 03,270.54
17-01-2018,03 - 04,269.95
17-01-2018,04 - 05,274.27
17-01-2018,05 - 06,285.48
17-01-2018,06 - 07,309.26
17-01-2018,07 - 08,383.65
17-01-2018,08 - 09,441.73
17-01-2018,09 - 10,417.55
17-01-2018,10 - 11,391.9
17-01-2018,11 - 12,383.16
17-01-2018,12 - 13,341.49
17-01-2018,13 - 14,319.77
17-01-2018,14 - 15,318.2
17-01-2018,15 - 16,325.38
17-01-2018,16 - 17,373.82
17-01-2018,17 - 18,382.27
17-01-2018,18 - 19,377.75
17-01-2018,19 - 20,336.68
17-01-2018,20 - 21,306.61
17-01-2018,21 - 22,300.41
17-01-2018,22 - 23,294.03
17-01-2018,23 - 00,288.23
18-01-2018,00 - 01,286.58
18-01-2018,01 - 02,281.46
18-01-2018,02 - 03,280.08
18-01-2018,03 - 04,278.9
18-01-2018,04 - 05,282.93
18-01-2018,05 - 06,294.45
18-01-2018,06 - 07,307.05
18-01-2018,07 - 08,422.48
18-01-2018,08 - 09,414.81
18-01-2018,09 - 10,413.33
18-01-2018,10 - 11,402.6
18-01-2018,11 - 12,387.15
18-01-2018,12 - 13,368.16
18-01-2018,13 - 14,352.51
18-01-2018,14 - 15,342.97
18-01-2018,15 - 16,361.47
18-01-2018,16 - 17,387.35
18-01-2018,17 - 18,414.81
18-01-2018,18 - 19,413.72
18-01-2018,19 - 20,408.31
18-01-2018,20 - 21,383.12
18-01-2018,21 - 22,337.55
18-01-2018,22 - 23,320.53
18-01-2018,23 - 00,299.66
19-01-2018,00 - 01,294.81
19-01-2018,01 - 02,294.52
19-01-2018,02 - 03,289.8
19-01-2018,03 - 04,290.49
19-01-2018,04 - 05,295.01
19-01-2018,05 - 06,312.11
19-01-2018,06 - 07,384.53
19-01-2018,07 - 08,489.88
19-01-2018,08 - 09,510.41
19-01-2018,09 - 10,494.89
19-01-2018,10 - 11,487.22
19-01-2018,11 - 12,460.69
19-01-2018,12 - 13,422.46
19-01-2018,13 - 14,409.49
19-01-2018,14 - 15,388.07
19-01-2018,15 - 16,410.57
19-01-2018,16 - 17,435.34
19-01-2018,17 - 18,479.66
19-01-2018,18 - 19,472.48
19-01-2018,19 - 20,404.77
19-01-2018,20 - 21,381.58
19-01-2018,21 - 22,363.01
19-01-2018,22 - 23,352.2
19-01-2018,23 - 00,320.46
20-01-2018,00 - 01,302.98
20-01-2018,01 - 02,292.07
20-01-2018,02 - 03,287.95
20-01-2018,03 - 04,285.1
20-01-2018,04 - 05,284.8
20-01-2018,05 - 06,287.26
20-01-2018,06 - 07,291.68
20-01-2018,07 - 08,303.18
20-01-2018,08 - 09,325
20-01-2018,09 - 10,364.5
20-01-2018,10 - 11,372.95
20-01-2018,11 - 12,399.78
20-01-2018,12 - 13,364.31
20-01-2018,13 - 14,334.23
20-01-2018,14 - 15,333.74
20-01-2018,15 - 16,375.8
20-01-2018,16 - 17,400.96
20-01-2018,17 - 18,397.92
20-01-2018,18 - 19,373.94
20-01-2018,19 - 20,363.32
20-01-2018,20 - 21,316.05
20-01-2018,21 - 22,320.87
20-01-2018,22 - 23,317.82
20-01-2018,23 - 00,312.02
21-01-2018,00 - 01,311.92
21-01-2018,01 - 02,298.95
21-01-2018,02 - 03,287.44
21-01-2018,03 - 04,282.23
21-01-2018,04 - 05,283.12
21-01-2018,05 - 06,285.58
21-01-2018,06 - 07,289.8
21-01-2018,07 - 08,302.29
21-01-2018,08 - 09,314.97
21-01-2018,09 - 10,338.66
21-01-2018,10 - 11,373.07
21-01-2018,11 - 12,392.73
21-01-2018,12 - 13,389.48
21-01-2018,13 - 14,362.35
21-01-2018,14 - 15,332.66
21-01-2018,15 - 16,340.33
21-01-2018,16 - 17,373.95
21-01-2018,17 - 18,422.02
21-01-2018,18 - 19,472.65
21-01-2018,19 - 20,421.93
21-01-2018,20 - 21,359.4
21-01-2018,21 - 22,319.79
21-01-2018,22 - 23,316.35
21-01-2018,23 - 00,300.03
22-01-2018,00 - 01,287.64
22-01-2018,01 - 02,280.96
22-01-2018,02 - 03,278.99
22-01-2018,03 - 04,280.46
22-01-2018,04 - 05,284.49
22-01-2018,05 - 06,292.26
22-01-2018,06 - 07,326.37
22-01-2018,07 - 08,422.22
22-01-2018,08 - 09,465.97
22-01-2018,09 - 10,451.22
22-01-2018,10 - 11,442.18
22-01-2018,11 - 12,475.7
22-01-2018,12 - 13,462.03
22-01-2018,13 - 14,465.87
22-01-2018,14 - 15,455.55
22-01-2018,15 - 16,431.95
22-01-2018,16 - 17,432.44
22-01-2018,17 - 18,498.6
22-01-2018,18 - 19,501.36
22-01-2018,19 - 20,472.36
22-01-2018,20 - 21,420.94
22-01-2018,21 - 22,383.29
22-01-2018,22 - 23,355.86
22-01-2018,23 - 00,329.32
23-01-2018,00 - 01,328.29
23-01-2018,01 - 02,312.16
23-01-2018,02 - 03,302.72
23-01-2018,03 - 04,298.78
23-01-2018,04 - 05,304.59
23-01-2018,05 - 06,319.44
23-01-2018,06 - 07,383.95
23-01-2018,07 - 08,481.22
23-01-2018,08 - 09,518.69
23-01-2018,09 - 10,499.51
23-01-2018,10 - 11,462.63
23-01-2018,11 - 12,431.06
23-01-2018,12 - 13,393.99
23-01-2018,13 - 14,366.65
23-01-2018,14 - 15,359.86
23-01-2018,15 - 16,359.96
23-01-2018,16 - 17,339.7
23-01-2018,17 - 18,364.09
23-01-2018,18 - 19,324.45
23-01-2018,19 - 20,321.5
23-01-2018,20 - 21,304.78
23-01-2018,21 - 22,291.31
23-01-2018,22 - 23,282.46
23-01-2018,23 - 00,276.46
24-01-2018,00 - 01,267.48
24-01-2018,01 - 02,265.12
24-01-2018,02 - 03,248.28
24-01-2018,03 - 04,252.32
24-01-2018,04 - 05,255.17
24-01-2018,05 - 06,269.75
24-01-2018,06 - 07,283.93
24-01-2018,07 - 08,314.56
24-01-2018,08 - 09,318.99
24-01-2018,09 - 10,313.97
24-01-2018,10 - 11,301.07
24-01-2018,11 - 12,294.47
24-01-2018,12 - 13,293.68
24-01-2018,13 - 14,289.54
24-01-2018,14 - 15,289.15
24-01-2018,15 - 16,289.05
24-01-2018,16 - 17,288.85
24-01-2018,17 - 18,292.5
24-01-2018,18 - 19,288.26
24-01-2018,19 - 20,286
24-01-2018,20 - 21,280.19
24-01-2018,21 - 22,277.23
24-01-2018,22 - 23,246.6
24-01-2018,23 - 00,153.54
25-01-2018,00 - 01,214.07
25-01-2018,01 - 02,155.93
25-01-2018,02 - 03,149.34
25-01-2018,03 - 04,175.12
25-01-2018,04 - 05,221.55
25-01-2018,05 - 06,255.79
25-01-2018,06 - 07,276.64
25-01-2018,07 - 08,297.11
25-01-2018,08 - 09,304.49
25-01-2018,09 - 10,304.58
25-01-2018,10 - 11,303.6
25-01-2018,11 - 12,299.96
25-01-2018,12 - 13,297.3
25-01-2018,13 - 14,297.99
25-01-2018,14 - 15,299.37
25-01-2018,15 - 16,303.5
25-01-2018,16 - 17,313.14
25-01-2018,17 - 18,328.39
25-01-2018,18 - 19,326.52
25-01-2018,19 - 20,316.19
25-01-2018,20 - 21,309.7
25-01-2018,21 - 22,302.22
25-01-2018,22 - 23,292.29
25-01-2018,23 - 00,285.11
26-01-2018,00 - 01,287.3
26-01-2018,01 - 02,284.45
26-01-2018,02 - 03,283.96
26-01-2018,03 - 04,285.53
26-01-2018,04 - 05,289.94
26-01-2018,05 - 06,295.34
26-01-2018,06 - 07,306.23
26-01-2018,07 - 08,329.39
26-01-2018,08 - 09,349.11
26-01-2018,09 - 10,338.61
26-01-2018,10 - 11,348.62
26-01-2018,11 - 12,334.49
26-01-2018,12 - 13,327.23
26-01-2018,13 - 14,323.11
26-01-2018,14 - 15,322.03
26-01-2018,15 - 16,320.36
26-01-2018,16 - 17,329.09
26-01-2018,17 - 18,377.27
26-01-2018,18 - 19,345.48
26-01-2018,19 - 20,326.25
26-01-2018,20 - 21,318.4
26-01-2018,21 - 22,309.57
26-01-2018,22 - 23,300.74
26-01-2018,23 - 00,296.22
27-01-2018,00 - 01,302.04
27-01-2018,01 - 02,296.35
27-01-2018,02 - 03,294.29
27-01-2018,03 - 04,294.09
27-01-2018,04 - 05,296.45
27-01-2018,05 - 06,301.84
27-01-2018,06 - 07,301.64
27-01-2018,07 - 08,301.64
27-01-2018,08 - 09,309.39
27-01-2018,09 - 10,320.77
27-01-2018,10 - 11,336.85
27-01-2018,11 - 12,332.93
27-01-2018,12 - 13,321.36
27-01-2018,13 - 14,313.71
27-01-2018,14 - 15,308.51
27-01-2018,15 - 16,304.78
27-01-2018,16 - 17,306.84
27-01-2018,17 - 18,351.46
27-01-2018,18 - 19,319.98
27-01-2018,19 - 20,313.41
27-01-2018,20 - 21,294.19
27-01-2018,21 - 22,284.78
27-01-2018,22 - 23,281.35
27-01-2018,23 - 00,276.83
28-01-2018,00 - 01,275.95
28-01-2018,01 - 02,271.16
28-01-2018,02 - 03,262.94
28-01-2018,03 - 04,260.1
28-01-2018,04 - 05,261.38
28-01-2018,05 - 06,264.99
28-01-2018,06 - 07,268.32
28-01-2018,07 - 08,269.01
28-01-2018,08 - 09,272.82
28-01-2018,09 - 10,274.58
28-01-2018,10 - 11,280.55
28-01-2018,11 - 12,281.04
28-01-2018,12 - 13,280.45
28-01-2018,13 - 14,279.08
28-01-2018,14 - 15,275.75
28-01-2018,15 - 16,279.57
28-01-2018,16 - 17,281.92
28-01-2018,17 - 18,286.12
28-01-2018,18 - 19,286.71
28-01-2018,19 - 20,283.97
28-01-2018,20 - 21,281.72
28-01-2018,21 - 22,279.57
28-01-2018,22 - 23,273.5
28-01-2018,23 - 00,269.79
29-01-2018,00 - 01,270.67
29-01-2018,01 - 02,263.14
29-01-2018,02 - 03,255.8
29-01-2018,03 - 04,268.32
29-01-2018,04 - 05,271.35
29-01-2018,05 - 06,279.37
29-01-2018,06 - 07,291.21
29-01-2018,07 - 08,301.09
29-01-2018,08 - 09,302.26
29-01-2018,09 - 10,299.33
29-01-2018,10 - 11,298.94
29-01-2018,11 - 12,298.55
29-01-2018,12 - 13,297.47
29-01-2018,13 - 14,296.79
29-01-2018,14 - 15,296.79
29-01-2018,15 - 16,298.55
29-01-2018,16 - 17,299.33
29-01-2018,17 - 18,312.83
29-01-2018,18 - 19,327.11
29-01-2018,19 - 20,300.01
29-01-2018,20 - 21,291.21
29-01-2018,21 - 22,285.05
29-01-2018,22 - 23,280.45
29-01-2018,23 - 00,275.17
30-01-2018,00 - 01,273.59
30-01-2018,01 - 02,271.63
30-01-2018,02 - 03,268.11
30-01-2018,03 - 04,269.48
30-01-2018,04 - 05,272.8
30-01-2018,05 - 06,280.83
30-01-2018,06 - 07,304.21
30-01-2018,07 - 08,338.26
30-01-2018,08 - 09,327.01
30-01-2018,09 - 10,321.24
30-01-2018,10 - 11,322.22
30-01-2018,11 - 12,317.32
30-01-2018,12 - 13,316.35
30-01-2018,13 - 14,314.98
30-01-2018,14 - 15,314.68
30-01-2018,15 - 16,316.74
30-01-2018,16 - 17,321.53
30-01-2018,17 - 18,427.01
30-01-2018,18 - 19,414.49
30-01-2018,19 - 20,357.15
30-01-2018,20 - 21,324.57
30-01-2018,21 - 22,316.74
30-01-2018,22 - 23,304.51
30-01-2018,23 - 00,294.62
31-01-2018,00 - 01,289.82
31-01-2018,01 - 02,283.66
31-01-2018,02 - 03,275.04
31-01-2018,03 - 04,273.97
31-01-2018,04 - 05,272.6
31-01-2018,05 - 06,274.65
31-01-2018,06 - 07,294.33
31-01-2018,07 - 08,306.85
31-01-2018,08 - 09,311.45
31-01-2018,09 - 10,302.35
31-01-2018,10 - 11,300.59
31-01-2018,11 - 12,293.93
31-01-2018,12 - 13,289.82
31-01-2018,13 - 14,287.57
31-01-2018,14 - 15,290.02
31-01-2018,15 - 16,290.02
31-01-2018,16 - 17,296.18
31-01-2018,17 - 18,313.71
31-01-2018,18 - 19,324.47
31-01-2018,19 - 20,308.22
31-01-2018,20 - 21,292.86
31-01-2018,21 - 22,282.38
31-01-2018,22 - 23,277.2
31-01-2018,23 - 00,268
1/2/2018,00 - 01,264.26
1/2/2018,01 - 02,254.59
1/2/2018,02 - 03,249.7
1/2/2018,03 - 04,261.72
1/2/2018,04 - 05,263.38
1/2/2018,05 - 06,281.84
1/2/2018,06 - 07,299.52
1/2/2018,07 - 08,318.87
1/2/2018,08 - 09,319.75
1/2/2018,09 - 10,317.3
1/2/2018,10 - 11,316.62
1/2/2018,11 - 12,308.41
1/2/2018,12 - 13,303.63
1/2/2018,13 - 14,307.24
1/2/2018,14 - 15,308.71
1/2/2018,15 - 16,307.93
1/2/2018,16 - 17,313.59
1/2/2018,17 - 18,322.19
1/2/2018,18 - 19,323.95
1/2/2018,19 - 20,315.15
1/2/2018,20 - 21,307.05
1/2/2018,21 - 22,307.34
1/2/2018,22 - 23,301.28
1/2/2018,23 - 00,286.82
2/2/2018,00 - 01,295.19
2/2/2018,01 - 02,292.74
2/2/2018,02 - 03,291.96
2/2/2018,03 - 04,291.47
2/2/2018,04 - 05,295
2/2/2018,05 - 06,315.38
2/2/2018,06 - 07,329.88
2/2/2018,07 - 08,366.73
2/2/2018,08 - 09,361.83
2/2/2018,09 - 10,360.66
2/2/2018,10 - 11,403.78
2/2/2018,11 - 12,354.39
2/2/2018,12 - 13,340.57
2/2/2018,13 - 14,344.98
2/2/2018,14 - 15,348.6
2/2/2018,15 - 16,345.27
2/2/2018,16 - 17,362.42
2/2/2018,17 - 18,360.66
2/2/2018,18 - 19,356.74
2/2/2018,19 - 20,355.17
2/2/2018,20 - 21,334.59
2/2/2018,21 - 22,327.14
2/2/2018,22 - 23,322.44
2/2/2018,23 - 00,312.83
3/2/2018,00 - 01,323.4
3/2/2018,01 - 02,316.72
3/2/2018,02 - 03,314.46
3/2/2018,03 - 04,314.36
3/2/2018,04 - 05,316.92
3/2/2018,05 - 06,323.01
3/2/2018,06 - 07,323.6
3/2/2018,07 - 08,327.83
3/2/2018,08 - 09,332.15
3/2/2018,09 - 10,344.43
3/2/2018,10 - 11,359.17
3/2/2018,11 - 12,354.85
3/2/2018,12 - 13,340.31
3/2/2018,13 - 14,332.84
3/2/2018,14 - 15,328.71
3/2/2018,15 - 16,329.1
3/2/2018,16 - 17,354.55
3/2/2018,17 - 18,443.59
3/2/2018,18 - 19,386.79
3/2/2018,19 - 20,340.7
3/2/2018,20 - 21,327.83
3/2/2018,21 - 22,323.6
3/2/2018,22 - 23,321.24
3/2/2018,23 - 00,315.93
4/2/2018,00 - 01,319.83
4/2/2018,01 - 02,308.02
4/2/2018,02 - 03,304.68
4/2/2018,03 - 04,304.97
4/2/2018,04 - 05,303.4
4/2/2018,05 - 06,303
4/2/2018,06 - 07,303.5
4/2/2018,07 - 08,307.33
