Date,Hours,SE1,SE2,SE3,SE4
1/1/2018,00 - 01,258.86,258.86,258.86,258.86
1/1/2018,01 - 02,259.85,259.85,259.85,259.85
1/1/2018,02 - 03,256.6,256.6,256.6,256.6
1/1/2018,03 - 04,242.84,242.84,242.84,242.84
1/1/2018,04 - 05,243.23,243.23,243.23,243.23
1/1/2018,05 - 06,177.07,177.07,177.07,177.07
1/1/2018,06 - 07,174.8,174.8,174.8,174.8
1/1/2018,07 - 08,175,175,175,175
1/1/2018,08 - 09,194.27,194.27,194.27,194.27
1/1/2018,09 - 10,203.81,203.81,203.81,203.81
1/1/2018,10 - 11,243.43,243.43,243.43,243.43
1/1/2018,11 - 12,252.47,252.47,252.47,252.47
1/1/2018,12 - 13,236.84,236.84,236.84,236.84
1/1/2018,13 - 14,245.89,245.89,245.89,245.89
1/1/2018,14 - 15,253.75,253.75,253.75,253.75
1/1/2018,15 - 16,260.14,260.14,260.14,260.14
1/1/2018,16 - 17,265.75,265.75,265.75,265.75
1/1/2018,17 - 18,269.68,269.68,269.68,269.68
1/1/2018,18 - 19,268.3,268.3,268.3,268.3
1/1/2018,19 - 20,265.06,265.06,265.06,265.06
1/1/2018,20 - 21,262.5,262.5,262.5,262.5
1/1/2018,21 - 22,260.24,260.24,260.24,260.24
1/1/2018,22 - 23,256.5,256.5,256.5,256.5
1/1/2018,23 - 00,244.61,244.61,244.61,244.61
2/1/2018,00 - 01,248.54,248.54,248.54,248.54
2/1/2018,01 - 02,227.7,227.7,227.7,227.7
2/1/2018,02 - 03,243.62,243.62,243.62,243.62
2/1/2018,03 - 04,246.08,246.08,246.08,246.08
2/1/2018,04 - 05,252.96,252.96,252.96,252.96
2/1/2018,05 - 06,263.88,263.88,263.88,263.88
2/1/2018,06 - 07,273.32,273.32,273.32,273.32
2/1/2018,07 - 08,299.86,299.86,299.86,299.86
2/1/2018,08 - 09,313.92,313.92,313.92,313.92
2/1/2018,09 - 10,329.65,329.65,329.65,329.65
2/1/2018,10 - 11,344.5,344.5,344.5,344.5
2/1/2018,11 - 12,346.27,346.27,346.27,346.27
2/1/2018,12 - 13,339.78,339.78,339.78,339.78
2/1/2018,13 - 14,335.25,335.25,335.25,335.25
2/1/2018,14 - 15,353.74,353.74,353.74,353.74
2/1/2018,15 - 16,374.09,374.09,374.09,374.09
2/1/2018,16 - 17,409.68,409.68,409.68,409.68
2/1/2018,17 - 18,416.76,416.76,416.76,416.76
2/1/2018,18 - 19,371.53,371.53,371.53,371.53
2/1/2018,19 - 20,331.32,331.32,331.32,335.06
2/1/2018,20 - 21,303.6,303.6,303.6,303.6
2/1/2018,21 - 22,283.64,283.64,283.64,283.64
2/1/2018,22 - 23,275.18,275.18,275.18,275.18
2/1/2018,23 - 00,271.35,271.35,271.35,271.35
3/1/2018,00 - 01,266.13,266.13,266.13,266.13
3/1/2018,01 - 02,261.12,261.12,261.12,261.12
3/1/2018,02 - 03,257.69,257.69,257.69,257.69
3/1/2018,03 - 04,257.39,257.39,257.39,257.39
3/1/2018,04 - 05,259.26,259.26,259.26,259.26
3/1/2018,05 - 06,269.56,269.56,269.56,269.56
3/1/2018,06 - 07,277.81,277.81,277.81,277.81
3/1/2018,07 - 08,284.09,284.09,284.09,284.09
3/1/2018,08 - 09,286.54,286.54,286.54,286.54
3/1/2018,09 - 10,287.32,287.32,287.32,287.32
3/1/2018,10 - 11,288.7,288.7,288.7,288.7
3/1/2018,11 - 12,287.03,287.03,287.03,287.03
3/1/2018,12 - 13,286.83,286.83,286.83,286.83
3/1/2018,13 - 14,289.39,289.39,289.39,289.39
3/1/2018,14 - 15,293.02,293.02,293.02,293.02
3/1/2018,15 - 16,299.39,299.39,299.39,299.39
3/1/2018,16 - 17,307.44,307.44,307.44,307.44
3/1/2018,17 - 18,309.99,309.99,309.99,309.99
3/1/2018,18 - 19,302.04,302.04,302.04,302.04
3/1/2018,19 - 20,295.86,295.86,295.86,295.86
3/1/2018,20 - 21,288.21,288.21,288.21,288.21
3/1/2018,21 - 22,283.89,283.89,283.89,283.89
3/1/2018,22 - 23,276.04,276.04,276.04,276.04
3/1/2018,23 - 00,267.99,267.99,267.99,267.99
4/1/2018,00 - 01,265.69,265.69,265.69,265.69
4/1/2018,01 - 02,263.04,263.04,263.04,263.04
4/1/2018,02 - 03,259.99,259.99,259.99,259.99
4/1/2018,03 - 04,260.19,260.19,260.19,260.19
4/1/2018,04 - 05,261.27,261.27,261.27,261.27
4/1/2018,05 - 06,265.3,265.3,265.3,265.3
4/1/2018,06 - 07,275.41,275.41,275.41,275.41
4/1/2018,07 - 08,298.89,298.89,298.89,298.89
4/1/2018,08 - 09,322.46,322.46,322.46,356.55
4/1/2018,09 - 10,343.48,343.48,343.48,343.48
4/1/2018,10 - 11,368.82,368.82,368.82,368.82
4/1/2018,11 - 12,353.8,353.8,353.8,353.8
4/1/2018,12 - 13,348.98,348.98,348.98,348.98
4/1/2018,13 - 14,346.72,346.72,346.72,346.72
4/1/2018,14 - 15,351.93,351.93,351.93,351.93
4/1/2018,15 - 16,371.57,371.57,371.57,371.57
4/1/2018,16 - 17,383.36,383.36,383.36,383.36
4/1/2018,17 - 18,370.4,370.4,372.36,372.36
4/1/2018,18 - 19,344.07,344.07,344.07,344.07
4/1/2018,19 - 20,313.03,313.03,313.03,313.03
4/1/2018,20 - 21,302.33,302.33,302.33,302.33
4/1/2018,21 - 22,297.32,297.32,297.32,297.32
4/1/2018,22 - 23,291.03,291.03,291.03,291.03
4/1/2018,23 - 00,275.51,275.51,275.51,275.51
5/1/2018,00 - 01,269.01,269.01,269.01,269.01
5/1/2018,01 - 02,264.59,264.59,264.59,264.59
5/1/2018,02 - 03,260.37,260.37,260.37,260.37
5/1/2018,03 - 04,260.37,260.37,260.37,260.37
5/1/2018,04 - 05,264.1,264.1,264.1,264.1
5/1/2018,05 - 06,271.77,271.77,271.77,271.77
5/1/2018,06 - 07,281.49,281.49,281.49,281.49
5/1/2018,07 - 08,299.08,299.08,299.08,299.08
5/1/2018,08 - 09,319.61,319.61,319.61,323.84
5/1/2018,09 - 10,329.34,329.34,329.34,348.11
5/1/2018,10 - 11,327.28,327.28,327.28,369.33
5/1/2018,11 - 12,324.04,324.04,324.04,368.94
5/1/2018,12 - 13,323.05,323.05,323.05,368.94
5/1/2018,13 - 14,322.66,322.66,322.66,368.64
5/1/2018,14 - 15,322.95,322.95,322.95,323.64
5/1/2018,15 - 16,329.14,329.14,329.14,368.54
5/1/2018,16 - 17,344.86,344.86,344.86,369.43
5/1/2018,17 - 18,366.48,366.48,366.48,369.03
5/1/2018,18 - 19,334.06,334.06,334.06,334.06
5/1/2018,19 - 20,316.86,316.86,316.86,316.86
5/1/2018,20 - 21,309.59,309.59,309.59,309.59
5/1/2018,21 - 22,307.04,307.04,307.04,307.04
5/1/2018,22 - 23,299.08,299.08,299.08,299.08
5/1/2018,23 - 00,291.22,291.22,291.22,291.22
6/1/2018,00 - 01,289.28,289.28,289.28,289.28
6/1/2018,01 - 02,280.44,280.44,280.44,280.44
6/1/2018,02 - 03,276.81,276.81,276.81,276.81
6/1/2018,03 - 04,275.04,275.04,275.04,275.04
6/1/2018,04 - 05,276.51,276.51,276.51,276.51
6/1/2018,05 - 06,281.91,281.91,281.91,281.91
6/1/2018,06 - 07,289.58,289.58,289.58,289.58
6/1/2018,07 - 08,298.12,298.12,298.12,298.12
6/1/2018,08 - 09,298.42,298.42,298.42,298.42
6/1/2018,09 - 10,303.52,303.52,303.52,303.52
6/1/2018,10 - 11,313.25,313.25,313.25,313.25
6/1/2018,11 - 12,322.78,322.78,322.78,322.78
6/1/2018,12 - 13,316,316,316,316
6/1/2018,13 - 14,312.27,312.27,312.27,312.27
6/1/2018,14 - 15,312.07,312.07,312.07,312.07
6/1/2018,15 - 16,324.64,324.64,324.64,324.64
6/1/2018,16 - 17,358.24,358.24,358.24,388.39
6/1/2018,17 - 18,358.83,358.83,358.83,406.57
6/1/2018,18 - 19,338.4,338.4,338.4,338.4
6/1/2018,19 - 20,313.64,313.64,313.64,313.64
6/1/2018,20 - 21,305.1,305.1,305.1,305.1
6/1/2018,21 - 22,301.76,301.76,301.76,301.76
6/1/2018,22 - 23,294.49,294.49,294.49,294.49
6/1/2018,23 - 00,285.16,285.16,285.16,285.16
7/1/2018,00 - 01,270.5,270.5,270.5,270.5
7/1/2018,01 - 02,254.02,254.02,254.02,254.02
7/1/2018,02 - 03,253.93,253.93,253.93,253.93
7/1/2018,03 - 04,256.57,256.57,256.57,256.57
7/1/2018,04 - 05,260.89,260.89,260.89,260.89
7/1/2018,05 - 06,266.19,266.19,266.19,266.19
7/1/2018,06 - 07,269.03,269.03,269.03,269.03
7/1/2018,07 - 08,271.58,271.58,271.58,271.58
7/1/2018,08 - 09,273.93,273.93,273.93,273.93
7/1/2018,09 - 10,277.86,277.86,277.86,277.86
7/1/2018,10 - 11,282.37,282.37,282.37,282.37
7/1/2018,11 - 12,283.94,283.94,283.94,283.94
7/1/2018,12 - 13,284.04,284.04,284.04,284.04
7/1/2018,13 - 14,277.27,277.27,277.27,277.27
7/1/2018,14 - 15,277.47,277.47,277.47,277.47
7/1/2018,15 - 16,280.7,280.7,280.7,280.7
7/1/2018,16 - 17,288.16,288.16,288.16,288.16
7/1/2018,17 - 18,302.87,302.87,302.87,302.87
7/1/2018,18 - 19,309.05,309.05,309.05,309.05
7/1/2018,19 - 20,305.22,305.22,305.22,305.22
7/1/2018,20 - 21,293.84,293.84,293.84,293.84
7/1/2018,21 - 22,283.84,283.84,283.84,283.84
7/1/2018,22 - 23,283.45,283.45,283.45,283.45
7/1/2018,23 - 00,270.4,270.4,270.4,270.4
8/1/2018,00 - 01,245.49,245.49,245.49,245.49
8/1/2018,01 - 02,235,235,235,235
8/1/2018,02 - 03,234.6,234.6,234.6,234.6
8/1/2018,03 - 04,249.91,249.91,249.91,249.91
8/1/2018,04 - 05,256.18,256.18,256.18,256.18
8/1/2018,05 - 06,274.23,274.23,274.23,274.23
8/1/2018,06 - 07,290.51,290.51,290.51,290.51
8/1/2018,07 - 08,321.01,321.01,321.01,410.95
8/1/2018,08 - 09,323.46,323.46,408.7,430.27
8/1/2018,09 - 10,327,327,417.52,417.52
8/1/2018,10 - 11,324.25,324.25,387.22,411.74
8/1/2018,11 - 12,325.13,325.13,351.81,407.42
8/1/2018,12 - 13,324.25,324.25,324.54,410.66
8/1/2018,13 - 14,322.68,322.68,322.78,410.66
8/1/2018,14 - 15,324.05,324.05,336.9,391.63
8/1/2018,15 - 16,325.62,325.62,372.8,401.83
8/1/2018,16 - 17,327.58,327.58,389.28,389.28
8/1/2018,17 - 18,322.68,322.68,394.87,394.87
8/1/2018,18 - 19,318.76,318.76,323.17,363.68
8/1/2018,19 - 20,305.61,305.61,305.61,305.61
8/1/2018,20 - 21,291.1,291.1,291.1,291.1
8/1/2018,21 - 22,283.64,283.64,283.64,283.64
8/1/2018,22 - 23,279.43,279.43,279.43,279.43
8/1/2018,23 - 00,275.5,275.5,275.5,275.5
9/1/2018,00 - 01,266.59,266.59,266.59,266.59
9/1/2018,01 - 02,248.14,248.14,248.14,248.14
9/1/2018,02 - 03,248.24,248.24,248.24,248.24
9/1/2018,03 - 04,260.8,260.8,260.8,260.8
9/1/2018,04 - 05,267.47,267.47,267.47,267.47
9/1/2018,05 - 06,277.18,277.18,277.18,277.18
9/1/2018,06 - 07,284.44,284.44,284.44,284.44
9/1/2018,07 - 08,309.46,309.46,309.46,309.46
9/1/2018,08 - 09,319.18,319.18,319.18,319.18
9/1/2018,09 - 10,316.53,316.53,316.53,316.53
9/1/2018,10 - 11,315.25,315.25,315.25,315.25
9/1/2018,11 - 12,317.12,317.12,317.12,317.12
9/1/2018,12 - 13,314.37,314.37,314.37,314.37
9/1/2018,13 - 14,312.02,312.02,312.02,312.02
9/1/2018,14 - 15,308.78,308.78,308.78,308.78
9/1/2018,15 - 16,308.09,308.09,308.09,308.09
9/1/2018,16 - 17,316.43,316.43,316.43,316.43
9/1/2018,17 - 18,322.51,322.51,322.51,322.51
9/1/2018,18 - 19,318.29,318.29,318.29,318.29
9/1/2018,19 - 20,309.07,309.07,309.07,309.07
9/1/2018,20 - 21,300.14,300.14,300.14,300.14
9/1/2018,21 - 22,295.83,295.83,295.83,295.83
9/1/2018,22 - 23,286.8,286.8,286.8,286.8
9/1/2018,23 - 00,280.23,280.23,280.23,280.23
10/1/2018,00 - 01,283.72,283.72,283.72,283.72
10/1/2018,01 - 02,278.12,278.12,278.12,278.12
10/1/2018,02 - 03,274.68,274.68,274.68,274.68
10/1/2018,03 - 04,270.94,270.94,270.94,270.94
10/1/2018,04 - 05,275.56,275.56,275.56,275.56
10/1/2018,05 - 06,296.5,296.5,296.5,296.5
10/1/2018,06 - 07,329.61,329.61,329.61,329.61
10/1/2018,07 - 08,432.51,432.51,432.51,432.51
10/1/2018,08 - 09,471.52,471.52,471.52,471.52
10/1/2018,09 - 10,471.52,471.52,471.52,471.52
10/1/2018,10 - 11,472.11,472.11,472.11,472.11
10/1/2018,11 - 12,469.56,469.56,469.56,469.56
10/1/2018,12 - 13,462.78,462.78,462.78,462.78
10/1/2018,13 - 14,433.88,433.88,433.88,433.88
10/1/2018,14 - 15,451.77,451.77,451.77,451.77
10/1/2018,15 - 16,460.22,460.22,460.22,460.22
10/1/2018,16 - 17,480.56,480.56,480.56,480.56
10/1/2018,17 - 18,510.05,510.05,510.05,510.05
10/1/2018,18 - 19,517.81,517.81,517.81,517.81
10/1/2018,19 - 20,441.65,441.65,441.65,441.65
10/1/2018,20 - 21,390.35,390.35,390.35,390.35
10/1/2018,21 - 22,351.92,351.92,351.92,351.92
10/1/2018,22 - 23,313.69,313.69,313.69,313.69
10/1/2018,23 - 00,298.17,298.17,298.17,298.17
11/1/2018,00 - 01,304.58,304.58,304.58,304.58
11/1/2018,01 - 02,294.95,294.95,294.95,294.95
11/1/2018,02 - 03,293.28,293.28,293.28,293.28
11/1/2018,03 - 04,294.36,294.36,294.36,294.36
11/1/2018,04 - 05,303.99,303.99,303.99,303.99
11/1/2018,05 - 06,326.48,326.48,326.48,326.48
11/1/2018,06 - 07,364.1,364.1,364.1,387.38
11/1/2018,07 - 08,504.55,504.55,504.55,504.55
11/1/2018,08 - 09,546.59,546.59,546.59,546.59
11/1/2018,09 - 10,541.28,541.28,541.28,541.28
11/1/2018,10 - 11,541.48,541.48,541.48,541.48
11/1/2018,11 - 12,535.98,535.98,535.98,535.98
11/1/2018,12 - 13,519.19,519.19,519.19,519.19
11/1/2018,13 - 14,460.35,460.35,460.35,460.35
11/1/2018,14 - 15,490.21,490.21,490.21,490.21
11/1/2018,15 - 16,513.49,513.49,513.49,513.49
11/1/2018,16 - 17,538.34,538.34,538.34,538.34
11/1/2018,17 - 18,553.76,553.76,553.76,553.76
11/1/2018,18 - 19,548.75,548.75,551.01,551.01
11/1/2018,19 - 20,393.47,393.47,393.47,393.47
11/1/2018,20 - 21,345.14,345.14,345.14,345.14
11/1/2018,21 - 22,325.5,325.5,325.5,325.5
11/1/2018,22 - 23,304.97,304.97,304.97,304.97
11/1/2018,23 - 00,295.25,295.25,295.25,295.25
12/1/2018,00 - 01,293.51,293.51,293.51,293.51
12/1/2018,01 - 02,287.83,287.83,287.83,287.83
12/1/2018,02 - 03,285.68,285.68,285.68,285.68
12/1/2018,03 - 04,285.48,285.48,285.48,285.48
12/1/2018,04 - 05,289.59,289.59,289.59,289.59
12/1/2018,05 - 06,305.44,305.44,305.44,305.44
12/1/2018,06 - 07,325.01,325.01,325.01,325.01
12/1/2018,07 - 08,432.33,432.33,432.33,432.33
12/1/2018,08 - 09,460.61,460.61,460.61,460.61
12/1/2018,09 - 10,433.9,433.9,433.9,433.9
12/1/2018,10 - 11,426.27,426.27,426.27,426.27
12/1/2018,11 - 12,425,425,425,425
12/1/2018,12 - 13,387.23,387.23,387.23,387.23
12/1/2018,13 - 14,368.15,368.15,368.15,368.15
12/1/2018,14 - 15,359.35,359.35,359.35,359.35
12/1/2018,15 - 16,344.38,344.38,344.38,344.38
12/1/2018,16 - 17,387.04,387.04,387.04,431.16
12/1/2018,17 - 18,401.61,401.61,401.61,448.96
12/1/2018,18 - 19,376.47,376.47,376.47,425.88
12/1/2018,19 - 20,323.93,323.93,323.93,323.93
12/1/2018,20 - 21,308.77,308.77,308.77,308.77
12/1/2018,21 - 22,307.69,307.69,307.69,307.69
12/1/2018,22 - 23,297.03,297.03,297.03,297.03
12/1/2018,23 - 00,289,289,289,289
13-01-2018,00 - 01,296.83,296.83,296.83,296.83
13-01-2018,01 - 02,291.71,291.71,291.71,291.71
13-01-2018,02 - 03,287.08,287.08,287.08,287.08
13-01-2018,03 - 04,284.82,284.82,284.82,284.82
13-01-2018,04 - 05,283.44,283.44,283.44,283.44
13-01-2018,05 - 06,285.31,285.31,285.31,285.31
13-01-2018,06 - 07,288.95,288.95,288.95,288.95
13-01-2018,07 - 08,298.11,298.11,298.11,298.11
13-01-2018,08 - 09,303.72,303.72,303.72,303.72
13-01-2018,09 - 10,310.22,310.22,310.22,310.22
13-01-2018,10 - 11,313.17,313.17,313.17,313.17
13-01-2018,11 - 12,313.96,313.96,313.96,313.96
13-01-2018,12 - 13,313.86,313.86,313.86,313.86
13-01-2018,13 - 14,313.56,313.56,313.56,313.56
13-01-2018,14 - 15,309.03,309.03,309.03,309.03
13-01-2018,15 - 16,308.44,308.44,308.44,308.44
13-01-2018,16 - 17,333.94,333.94,333.94,333.94
13-01-2018,17 - 18,373.72,373.72,373.72,373.72
13-01-2018,18 - 19,361.41,361.41,361.41,361.41
13-01-2018,19 - 20,315.73,315.73,315.73,315.73
13-01-2018,20 - 21,301.16,301.16,301.16,301.16
13-01-2018,21 - 22,293.38,293.38,293.38,293.38
13-01-2018,22 - 23,288.85,288.85,288.85,288.85
13-01-2018,23 - 00,283.54,283.54,283.54,283.54
14-01-2018,00 - 01,284.31,284.31,284.31,284.31
14-01-2018,01 - 02,279.79,279.79,279.79,279.79
14-01-2018,02 - 03,276.05,276.05,276.05,276.05
14-01-2018,03 - 04,275.16,275.16,275.16,275.16
14-01-2018,04 - 05,274.18,274.18,274.18,274.18
14-01-2018,05 - 06,275.56,275.56,275.56,275.56
14-01-2018,06 - 07,278.9,278.9,278.9,278.9
14-01-2018,07 - 08,280.87,280.87,280.87,280.87
14-01-2018,08 - 09,283.62,283.62,283.62,283.62
14-01-2018,09 - 10,289.33,289.33,289.33,289.33
14-01-2018,10 - 11,292.58,292.58,292.58,292.58
14-01-2018,11 - 12,296.41,296.41,296.41,296.41
14-01-2018,12 - 13,293.26,293.26,293.26,293.26
14-01-2018,13 - 14,289.62,289.62,289.62,289.62
14-01-2018,14 - 15,294.54,294.54,294.54,294.54
14-01-2018,15 - 16,308.12,308.12,308.12,308.12
14-01-2018,16 - 17,327.3,327.3,327.3,334.19
14-01-2018,17 - 18,334.29,334.29,334.29,364.79
14-01-2018,18 - 19,319.73,319.73,319.73,357.41
14-01-2018,19 - 20,308.71,308.71,308.71,328.39
14-01-2018,20 - 21,300.54,300.54,300.54,300.54
14-01-2018,21 - 22,292.08,292.08,292.08,292.08
14-01-2018,22 - 23,288.54,288.54,288.54,288.54
14-01-2018,23 - 00,283.53,283.53,283.53,283.53
15-01-2018,00 - 01,264.64,264.64,264.64,264.64
15-01-2018,01 - 02,242.11,242.11,242.11,242.11
15-01-2018,02 - 03,227.25,227.25,227.25,227.25
15-01-2018,03 - 04,205.51,205.51,205.51,205.51
15-01-2018,04 - 05,267.1,267.1,267.1,267.1
15-01-2018,05 - 06,282.74,282.74,282.74,282.74
15-01-2018,06 - 07,295.92,295.92,295.92,295.92
15-01-2018,07 - 08,318.25,318.25,318.25,318.25
15-01-2018,08 - 09,329.57,329.57,329.57,329.57
15-01-2018,09 - 10,320.42,320.42,320.42,320.42
15-01-2018,10 - 11,310.28,310.28,310.28,310.28
15-01-2018,11 - 12,298.09,298.09,298.09,298.09
15-01-2018,12 - 13,289.53,289.53,289.53,289.53
15-01-2018,13 - 14,288.15,288.15,288.15,288.15
15-01-2018,14 - 15,289.43,289.43,289.43,289.43
15-01-2018,15 - 16,287.66,287.66,287.66,287.66
15-01-2018,16 - 17,288.74,288.74,288.74,288.74
15-01-2018,17 - 18,295.23,295.23,295.23,295.23
15-01-2018,18 - 19,289.13,289.13,289.13,289.13
15-01-2018,19 - 20,286.87,286.87,286.87,286.87
15-01-2018,20 - 21,283.92,283.92,283.92,283.92
15-01-2018,21 - 22,275.75,275.75,275.75,275.75
15-01-2018,22 - 23,243.09,243.09,243.09,243.09
15-01-2018,23 - 00,162.62,162.62,162.62,162.62
16-01-2018,00 - 01,257.02,257.02,257.02,257.02
16-01-2018,01 - 02,233.82,233.82,233.82,233.82
16-01-2018,02 - 03,200.48,200.48,200.48,200.48
16-01-2018,03 - 04,211.5,211.5,211.5,211.5
16-01-2018,04 - 05,232.93,232.93,232.93,232.93
16-01-2018,05 - 06,274.43,274.43,274.43,274.43
16-01-2018,06 - 07,285.83,285.83,285.83,285.83
16-01-2018,07 - 08,311.2,311.2,311.2,311.2
16-01-2018,08 - 09,322.11,322.11,322.11,322.11
16-01-2018,09 - 10,324.47,324.47,324.47,324.47
16-01-2018,10 - 11,323.69,323.69,323.69,323.69
16-01-2018,11 - 12,324.18,324.18,324.18,324.18
16-01-2018,12 - 13,323.39,323.39,323.39,323.39
16-01-2018,13 - 14,323.49,323.49,323.49,323.49
16-01-2018,14 - 15,323.39,323.39,323.39,323.39
16-01-2018,15 - 16,332.14,332.14,332.14,332.14
16-01-2018,16 - 17,360.26,360.26,363.21,363.21
16-01-2018,17 - 18,351.22,351.22,414.73,414.73
16-01-2018,18 - 19,355.94,355.94,435.97,435.97
16-01-2018,19 - 20,334.21,334.21,334.21,334.21
16-01-2018,20 - 21,312.48,312.48,312.48,342.27
16-01-2018,21 - 22,301.76,301.76,301.76,301.76
16-01-2018,22 - 23,288.88,288.88,288.88,288.88
16-01-2018,23 - 00,274.13,274.13,274.13,274.13
17-01-2018,00 - 01,276.53,276.53,276.53,276.53
17-01-2018,01 - 02,272.7,272.7,272.7,272.7
17-01-2018,02 - 03,270.54,270.54,270.54,270.54
17-01-2018,03 - 04,269.95,269.95,269.95,269.95
17-01-2018,04 - 05,274.27,274.27,274.27,274.27
17-01-2018,05 - 06,285.48,285.48,285.48,285.48
17-01-2018,06 - 07,309.26,309.26,309.26,309.26
17-01-2018,07 - 08,383.65,383.65,383.65,383.65
17-01-2018,08 - 09,441.73,441.73,441.73,441.73
17-01-2018,09 - 10,417.55,417.55,417.55,417.55
17-01-2018,10 - 11,391.9,391.9,391.9,391.9
17-01-2018,11 - 12,383.16,383.16,383.16,383.16
17-01-2018,12 - 13,341.49,341.49,341.49,341.49
17-01-2018,13 - 14,319.77,319.77,319.77,319.77
17-01-2018,14 - 15,318.2,318.2,318.2,318.2
17-01-2018,15 - 16,325.38,325.38,325.38,325.38
17-01-2018,16 - 17,373.82,373.82,373.82,373.82
17-01-2018,17 - 18,382.27,382.27,382.27,382.27
17-01-2018,18 - 19,377.75,377.75,377.75,377.75
17-01-2018,19 - 20,336.68,336.68,336.68,336.68
17-01-2018,20 - 21,306.61,306.61,306.61,306.61
17-01-2018,21 - 22,300.41,300.41,300.41,300.41
17-01-2018,22 - 23,294.03,294.03,294.03,294.03
17-01-2018,23 - 00,288.23,288.23,288.23,288.23
18-01-2018,00 - 01,286.58,286.58,286.58,286.58
18-01-2018,01 - 02,281.46,281.46,281.46,281.46
18-01-2018,02 - 03,280.08,280.08,280.08,280.08
18-01-2018,03 - 04,278.9,278.9,278.9,278.9
18-01-2018,04 - 05,282.93,282.93,282.93,282.93
18-01-2018,05 - 06,294.45,294.45,294.45,294.45
18-01-2018,06 - 07,307.05,307.05,307.05,307.05
18-01-2018,07 - 08,422.48,422.48,422.48,422.48
18-01-2018,08 - 09,414.81,414.81,414.81,414.81
18-01-2018,09 - 10,413.33,413.33,413.33,413.33
18-01-2018,10 - 11,402.6,402.6,402.6,402.6
18-01-2018,11 - 12,387.15,387.15,387.15,387.15
18-01-2018,12 - 13,368.16,368.16,368.16,368.16
18-01-2018,13 - 14,352.51,352.51,352.51,352.51
18-01-2018,14 - 15,342.97,342.97,342.97,342.97
18-01-2018,15 - 16,361.47,361.47,361.47,361.47
18-01-2018,16 - 17,387.35,387.35,387.35,387.35
18-01-2018,17 - 18,414.81,414.81,414.81,414.81
18-01-2018,18 - 19,413.72,413.72,413.72,413.72
18-01-2018,19 - 20,408.31,408.31,408.31,408.31
18-01-2018,20 - 21,383.12,383.12,383.12,383.12
18-01-2018,21 - 22,337.55,337.55,337.55,337.55
18-01-2018,22 - 23,320.53,320.53,320.53,320.53
18-01-2018,23 - 00,299.66,299.66,299.66,299.66
19-01-2018,00 - 01,294.81,294.81,294.81,294.81
19-01-2018,01 - 02,294.52,294.52,294.52,294.52
19-01-2018,02 - 03,289.8,289.8,289.8,289.8
19-01-2018,03 - 04,290.49,290.49,290.49,290.49
19-01-2018,04 - 05,295.01,295.01,295.01,295.01
19-01-2018,05 - 06,312.11,312.11,312.11,312.11
19-01-2018,06 - 07,384.53,384.53,384.53,384.53
19-01-2018,07 - 08,489.88,489.88,489.88,489.88
19-01-2018,08 - 09,510.41,510.41,510.41,510.41
19-01-2018,09 - 10,494.89,494.89,494.89,494.89
19-01-2018,10 - 11,487.22,487.22,487.22,487.22
19-01-2018,11 - 12,460.69,460.69,460.69,460.69
19-01-2018,12 - 13,422.46,422.46,422.46,422.46
19-01-2018,13 - 14,409.49,409.49,409.49,409.49
19-01-2018,14 - 15,388.07,388.07,388.07,388.07
19-01-2018,15 - 16,410.57,410.57,410.57,410.57
19-01-2018,16 - 17,435.34,435.34,435.34,435.34
19-01-2018,17 - 18,479.66,479.66,487.12,487.12
19-01-2018,18 - 19,472.48,472.48,488.79,488.79
19-01-2018,19 - 20,404.77,404.77,440.15,440.15
19-01-2018,20 - 21,381.58,381.58,381.58,381.58
19-01-2018,21 - 22,363.01,363.01,363.01,363.01
19-01-2018,22 - 23,352.2,352.2,352.2,352.2
19-01-2018,23 - 00,320.46,320.46,320.46,320.46
20-01-2018,00 - 01,302.98,302.98,302.98,302.98
20-01-2018,01 - 02,292.07,292.07,292.07,292.07
20-01-2018,02 - 03,287.95,287.95,287.95,287.95
20-01-2018,03 - 04,285.1,285.1,285.1,285.1
20-01-2018,04 - 05,284.8,284.8,284.8,284.8
20-01-2018,05 - 06,287.26,287.26,287.26,287.26
20-01-2018,06 - 07,291.68,291.68,291.68,291.68
20-01-2018,07 - 08,303.18,303.18,303.18,303.18
20-01-2018,08 - 09,325,325,325,325
20-01-2018,09 - 10,364.5,364.5,364.5,364.5
20-01-2018,10 - 11,372.95,372.95,372.95,372.95
20-01-2018,11 - 12,399.78,399.78,399.78,399.78
20-01-2018,12 - 13,364.31,364.31,364.31,364.31
20-01-2018,13 - 14,334.23,334.23,334.23,334.23
20-01-2018,14 - 15,333.74,333.74,333.74,333.74
20-01-2018,15 - 16,375.8,375.8,375.8,375.8
20-01-2018,16 - 17,400.96,400.96,400.96,400.96
20-01-2018,17 - 18,397.92,397.92,439.09,439.09
20-01-2018,18 - 19,373.94,373.94,473.69,473.69
20-01-2018,19 - 20,363.32,363.32,363.32,363.32
20-01-2018,20 - 21,316.05,316.05,316.05,316.05
20-01-2018,21 - 22,320.87,320.87,320.87,320.87
20-01-2018,22 - 23,317.82,317.82,317.82,317.82
20-01-2018,23 - 00,312.02,312.02,312.02,312.02
21-01-2018,00 - 01,311.92,311.92,311.92,311.92
21-01-2018,01 - 02,298.95,298.95,298.95,298.95
21-01-2018,02 - 03,287.44,287.44,287.44,287.44
