Production SE areas in MWh,,,,,,
Data was last updated 14-12-2018,,,,,,
,Hours,SE1,SE2,SE3,SE4,SE
1/1/2018,00 - 01,1842,3381,11752,1054,18029
1/1/2018,01 - 02,1315,3067,11573,1034,16989
1/1/2018,02 - 03,1309,3051,11522,1028,16910
1/1/2018,03 - 04,1284,2945,11425,1021,16674
1/1/2018,04 - 05,1250,2925,11313,1051,16539
1/1/2018,05 - 06,1438,2927,11264,1116,16745
1/1/2018,06 - 07,1651,3049,11243,1191,17134
1/1/2018,07 - 08,1680,3420,11252,1290,17642
1/1/2018,08 - 09,1868,3565,11265,1412,18110
1/1/2018,09 - 10,1909,3793,11306,1510,18518
1/1/2018,10 - 11,2276,4186,11332,1582,19377
1/1/2018,11 - 12,2438,4416,11346,1600,19800
1/1/2018,12 - 13,2264,4783,11392,1594,20033
1/1/2018,13 - 14,2328,4782,11418,1574,20101
1/1/2018,14 - 15,2512,4809,11426,1583,20330
1/1/2018,15 - 16,2812,4924,11471,1682,20889
1/1/2018,16 - 17,3040,5080,11511,1702,21333
1/1/2018,17 - 18,3111,5162,11564,1706,21543
1/1/2018,18 - 19,3057,5075,11653,1697,21481
1/1/2018,19 - 20,2968,4981,11702,1691,21341
1/1/2018,20 - 21,2799,4835,11720,1670,21024
1/1/2018,21 - 22,2801,4744,11737,1603,20886
1/1/2018,22 - 23,2541,4526,11719,1541,20326
1/1/2018,23 - 00,1866,3741,11693,1481,18780
2/1/2018,00 - 01,1371,2992,11449,1490,17302
2/1/2018,01 - 02,1347,2664,11447,1433,16891
2/1/2018,02 - 03,1342,2592,11414,1404,16751
2/1/2018,03 - 04,1334,2583,11386,1390,16693
2/1/2018,04 - 05,1862,2824,11413,1375,17473
2/1/2018,05 - 06,2180,3076,11428,1358,18042
2/1/2018,06 - 07,2861,4144,10375,1329,18708
2/1/2018,07 - 08,3481,5645,10640,1289,21054
2/1/2018,08 - 09,3720,6023,10850,1236,21830
2/1/2018,09 - 10,3788,6360,10857,1134,22140
2/1/2018,10 - 11,3880,6548,10891,1093,22412
2/1/2018,11 - 12,3897,6670,10787,1068,22422
2/1/2018,12 - 13,3898,6793,10735,1040,22466
2/1/2018,13 - 14,3936,6741,10701,1052,22430
2/1/2018,14 - 15,3845,6808,10684,1026,22363
2/1/2018,15 - 16,3908,6827,10633,1025,22392
2/1/2018,16 - 17,3920,7029,10520,987,22456
2/1/2018,17 - 18,3872,7117,10698,977,22664
2/1/2018,18 - 19,3775,7122,10699,980,22575
2/1/2018,19 - 20,3640,6857,10607,942,22046
2/1/2018,20 - 21,3561,6332,10293,922,21107
2/1/2018,21 - 22,3242,5755,10185,932,20115
2/1/2018,22 - 23,2818,4802,10078,928,18625
2/1/2018,23 - 00,2341,4010,10008,924,17283
3/1/2018,00 - 01,1451,3477,9868,907,15704
3/1/2018,01 - 02,1421,3215,9819,951,15405
3/1/2018,02 - 03,1408,3155,9805,1017,15385
3/1/2018,03 - 04,1423,3075,9816,1084,15398
3/1/2018,04 - 05,1446,3246,9869,1178,15739
3/1/2018,05 - 06,1524,3575,9995,1297,16391
3/1/2018,06 - 07,2003,4432,10138,1417,17990
3/1/2018,07 - 08,2495,5360,10301,1535,19691
3/1/2018,08 - 09,2842,5884,10459,1619,20803
3/1/2018,09 - 10,2821,5811,10558,1694,20883
3/1/2018,10 - 11,2882,5994,10707,1808,21392
3/1/2018,11 - 12,2889,6098,10761,1796,21544
3/1/2018,12 - 13,2915,5926,10871,1811,21522
3/1/2018,13 - 14,3039,5656,10939,1793,21427
3/1/2018,14 - 15,3281,5814,11098,1719,21912
3/1/2018,15 - 16,3384,5739,11334,1599,22055
3/1/2018,16 - 17,3546,5901,11385,1490,22321
3/1/2018,17 - 18,3553,6007,11427,1418,22405
3/1/2018,18 - 19,3364,5928,11399,1367,22058
3/1/2018,19 - 20,3193,5719,11405,1275,21592
3/1/2018,20 - 21,2974,5299,11166,1179,20618
3/1/2018,21 - 22,2655,5051,11077,1082,19865
3/1/2018,22 - 23,2266,4518,11028,1027,18839
3/1/2018,23 - 00,1927,3947,11002,969,17845
4/1/2018,00 - 01,1553,3435,11095,836,16919
4/1/2018,01 - 02,1516,3549,11186,800,17051
4/1/2018,02 - 03,1516,3437,11150,770,16873
4/1/2018,03 - 04,1627,3512,11051,742,16931
4/1/2018,04 - 05,1749,3548,11007,725,17029
4/1/2018,05 - 06,1786,3743,11372,722,17623
4/1/2018,06 - 07,2153,4666,11642,722,19183
4/1/2018,07 - 08,3474,6210,11909,715,22308
4/1/2018,08 - 09,3938,6896,11793,742,23369
4/1/2018,09 - 10,3655,6910,11878,751,23193
4/1/2018,10 - 11,3775,6971,12017,752,23515
4/1/2018,11 - 12,3509,6932,12104,752,23298
4/1/2018,12 - 13,3625,6979,12178,786,23569
4/1/2018,13 - 14,3696,7054,12157,805,23712
4/1/2018,14 - 15,3577,7161,12096,821,23655
4/1/2018,15 - 16,3812,7135,12194,813,23954
4/1/2018,16 - 17,3878,7272,11993,835,23978
4/1/2018,17 - 18,3850,7326,11997,841,24013
4/1/2018,18 - 19,3573,7133,12009,840,23555
4/1/2018,19 - 20,3604,7041,11844,831,23320
4/1/2018,20 - 21,3615,6711,11867,811,23003
4/1/2018,21 - 22,3049,6360,11749,799,21957
4/1/2018,22 - 23,2950,5860,11723,780,21313
4/1/2018,23 - 00,2063,4964,11607,766,19399
5/1/2018,00 - 01,1663,4135,11469,745,18012
5/1/2018,01 - 02,1683,4127,11442,728,17981
5/1/2018,02 - 03,1702,4114,11426,714,17956
5/1/2018,03 - 04,1715,4028,11412,697,17853
5/1/2018,04 - 05,2084,4357,11435,692,18568
5/1/2018,05 - 06,2131,4618,11450,687,18886
5/1/2018,06 - 07,2473,5471,11496,693,20133
5/1/2018,07 - 08,3600,6509,11605,710,22424
5/1/2018,08 - 09,4016,7082,11816,703,23617
5/1/2018,09 - 10,4025,7157,11845,701,23728
5/1/2018,10 - 11,4031,7397,11918,710,24056
5/1/2018,11 - 12,4013,7488,11936,720,24157
5/1/2018,12 - 13,4004,7533,11897,739,24174
5/1/2018,13 - 14,4003,7551,11866,749,24168
5/1/2018,14 - 15,3993,7434,11895,774,24096
5/1/2018,15 - 16,4027,7533,11926,775,24260
5/1/2018,16 - 17,4083,7577,12023,775,24459
5/1/2018,17 - 18,4132,7522,12011,784,24449
5/1/2018,18 - 19,4067,7458,11992,794,24310
5/1/2018,19 - 20,3923,7310,11803,803,23839
5/1/2018,20 - 21,3385,6826,11616,824,22651
5/1/2018,21 - 22,3311,6517,11566,830,22223
5/1/2018,22 - 23,3074,5883,11495,841,21294
5/1/2018,23 - 00,2700,5261,11457,844,20262
6/1/2018,00 - 01,1841,4729,11395,810,18775
6/1/2018,01 - 02,1718,4389,11369,798,18274
6/1/2018,02 - 03,1690,4308,11353,783,18135
6/1/2018,03 - 04,1682,4369,11323,770,18143
6/1/2018,04 - 05,1660,4500,11334,754,18248
6/1/2018,05 - 06,1704,4637,11363,744,18448
6/1/2018,06 - 07,1806,4999,11414,739,18958
6/1/2018,07 - 08,1937,5813,11462,737,19948
6/1/2018,08 - 09,2613,6522,11457,742,21335
6/1/2018,09 - 10,2868,7102,11464,733,22167
6/1/2018,10 - 11,3075,7156,11597,736,22565
6/1/2018,11 - 12,3238,7197,11677,735,22846
6/1/2018,12 - 13,3137,7390,11801,739,23068
6/1/2018,13 - 14,3186,7363,11881,750,23180
6/1/2018,14 - 15,3191,7455,11969,775,23389
6/1/2018,15 - 16,3192,7548,12028,811,23578
6/1/2018,16 - 17,3313,7591,12206,854,23963
6/1/2018,17 - 18,3310,7476,12236,904,23925
6/1/2018,18 - 19,3319,7517,12296,947,24079
6/1/2018,19 - 20,3163,7345,12176,1005,23688
6/1/2018,20 - 21,2904,7256,12099,1037,23295
6/1/2018,21 - 22,2770,6894,12048,1052,22765
6/1/2018,22 - 23,2683,6403,11968,1064,22118
6/1/2018,23 - 00,2171,5507,11877,1074,20629
7/1/2018,00 - 01,1966,4641,11843,1064,19513
7/1/2018,01 - 02,1947,4289,11714,1015,18965
7/1/2018,02 - 03,1941,4234,11670,984,18830
7/1/2018,03 - 04,1938,4180,11631,965,18714
7/1/2018,04 - 05,1924,4164,11609,931,18628
7/1/2018,05 - 06,1936,4283,11607,902,18728
7/1/2018,06 - 07,1917,4824,11629,876,19246
7/1/2018,07 - 08,1962,5043,11749,839,19594
7/1/2018,08 - 09,2276,5188,11938,810,20211
7/1/2018,09 - 10,2483,5460,12181,784,20908
7/1/2018,10 - 11,2548,5699,12398,777,21421
7/1/2018,11 - 12,2523,6024,12588,813,21947
7/1/2018,12 - 13,2558,6197,12768,845,22368
7/1/2018,13 - 14,2443,6347,12794,909,22493
7/1/2018,14 - 15,2366,6144,12842,1035,22386
7/1/2018,15 - 16,2328,6288,12917,1162,22695
7/1/2018,16 - 17,2452,6626,13093,1253,23423
7/1/2018,17 - 18,2716,7014,13194,1336,24260
7/1/2018,18 - 19,2826,7261,13218,1398,24702
7/1/2018,19 - 20,2745,7083,13158,1440,24426
7/1/2018,20 - 21,2685,6905,13008,1457,24054
7/1/2018,21 - 22,2396,6436,12824,1473,23128
7/1/2018,22 - 23,2291,6198,12663,1456,22607
7/1/2018,23 - 00,1904,5613,12467,1409,21394
8/1/2018,00 - 01,1712,4509,12317,1392,19929
8/1/2018,01 - 02,1708,4261,12084,1310,19363
8/1/2018,02 - 03,1746,4152,11953,1227,19077
8/1/2018,03 - 04,1723,4141,11907,1152,18922
8/1/2018,04 - 05,1902,4519,11888,1055,19363
8/1/2018,05 - 06,2071,4814,11890,974,19750
8/1/2018,06 - 07,3034,6480,12003,920,22437
8/1/2018,07 - 08,3940,7412,12261,870,24482
8/1/2018,08 - 09,4021,7493,12300,827,24641
8/1/2018,09 - 10,4013,7315,12287,793,24408
8/1/2018,10 - 11,3980,7288,12267,776,24310
8/1/2018,11 - 12,3971,7274,12297,764,24305
8/1/2018,12 - 13,3974,7264,12153,754,24145
8/1/2018,13 - 14,3992,7176,12210,769,24147
8/1/2018,14 - 15,4003,7187,12206,783,24178
8/1/2018,15 - 16,3994,7359,12266,793,24411
8/1/2018,16 - 17,3976,7473,12367,812,24628
8/1/2018,17 - 18,3979,7523,12380,825,24706
8/1/2018,18 - 19,3884,7533,12351,854,24622
8/1/2018,19 - 20,3829,7256,12179,863,24127
8/1/2018,20 - 21,2772,6855,12052,861,22540
8/1/2018,21 - 22,2519,6725,12030,830,22103
8/1/2018,22 - 23,2138,6184,12015,830,21168
8/1/2018,23 - 00,1663,5741,11968,839,20210
9/1/2018,00 - 01,1414,4823,11870,818,18925
9/1/2018,01 - 02,1406,4548,11815,833,18601
9/1/2018,02 - 03,1382,4543,11745,842,18510
9/1/2018,03 - 04,1392,4562,11707,865,18526
9/1/2018,04 - 05,1768,4896,11669,897,19230
9/1/2018,05 - 06,1976,5151,11672,952,19752
9/1/2018,06 - 07,2780,6143,11820,1014,21756
9/1/2018,07 - 08,3440,7212,11957,1090,23698
9/1/2018,08 - 09,3618,7633,12109,1160,24520
9/1/2018,09 - 10,3512,7491,12187,1240,24431
9/1/2018,10 - 11,3472,7440,12186,1291,24389
9/1/2018,11 - 12,3496,7484,12024,1312,24315
9/1/2018,12 - 13,3372,7430,11685,1369,23855
9/1/2018,13 - 14,3348,7264,11667,1424,23702
9/1/2018,14 - 15,3293,7133,11694,1488,23608
9/1/2018,15 - 16,3465,7161,11691,1575,23892
9/1/2018,16 - 17,3734,7247,12169,1620,24770
9/1/2018,17 - 18,3915,7207,12346,1677,25145
9/1/2018,18 - 19,3866,7148,12379,1740,25133
9/1/2018,19 - 20,3676,7002,12229,1785,24691
9/1/2018,20 - 21,2946,6811,12133,1822,23713
9/1/2018,21 - 22,2597,6507,12214,1836,23154
9/1/2018,22 - 23,2308,5842,12118,1834,22103
9/1/2018,23 - 00,1954,5181,12150,1823,21108
10/1/2018,00 - 01,1701,4250,12107,1811,19869
10/1/2018,01 - 02,1652,3968,12107,1791,19517
10/1/2018,02 - 03,1487,3841,12144,1784,19255
10/1/2018,03 - 04,1415,3823,12170,1747,19155
10/1/2018,04 - 05,1718,4155,12187,1715,19774
10/1/2018,05 - 06,2184,4762,12393,1677,21016
10/1/2018,06 - 07,3610,5859,12648,1647,23765
10/1/2018,07 - 08,4467,6677,12820,1609,25573
10/1/2018,08 - 09,4224,6915,12924,1583,25645
10/1/2018,09 - 10,4132,6916,12905,1555,25508
10/1/2018,10 - 11,3957,6825,12832,1520,25134
10/1/2018,11 - 12,3972,6828,12871,1484,25154
10/1/2018,12 - 13,3937,6848,12883,1441,25109
10/1/2018,13 - 14,3756,6812,12929,1399,24896
10/1/2018,14 - 15,4075,6890,12907,1359,25230
10/1/2018,15 - 16,4393,7022,12873,1334,25622
10/1/2018,16 - 17,4239,6989,12809,1287,25324
10/1/2018,17 - 18,4039,6973,12802,1240,25054
10/1/2018,18 - 19,3766,6893,12745,1202,24606
10/1/2018,19 - 20,3970,6985,12682,1161,24798
10/1/2018,20 - 21,3560,6791,12607,1116,24074
10/1/2018,21 - 22,2811,6582,12455,1100,22949
10/1/2018,22 - 23,2154,6244,12360,1081,21839
10/1/2018,23 - 00,2027,5609,12194,1054,20885
11/1/2018,00 - 01,1577,4863,11939,1059,19437
11/1/2018,01 - 02,1528,4615,11863,1041,19047
11/1/2018,02 - 03,1525,4359,11794,1031,18709
11/1/2018,03 - 04,1566,4388,11761,1022,18738
11/1/2018,04 - 05,1896,4660,11769,1012,19336
11/1/2018,05 - 06,2166,5438,12061,1018,20683
11/1/2018,06 - 07,3481,6196,12234,1025,22934
11/1/2018,07 - 08,4015,6791,12401,1043,24250
11/1/2018,08 - 09,3941,7063,12359,1064,24427
11/1/2018,09 - 10,3993,7011,12262,1067,24334
11/1/2018,10 - 11,4120,7086,12273,1078,24557
11/1/2018,11 - 12,4176,7113,12266,1063,24618
11/1/2018,12 - 13,4205,7244,12293,1081,24823
11/1/2018,13 - 14,4209,7168,12383,1107,24866
11/1/2018,14 - 15,4179,7136,12402,1121,24838
11/1/2018,15 - 16,4182,7167,12403,1198,24950
11/1/2018,16 - 17,4202,7097,12376,1245,24920
11/1/2018,17 - 18,4247,7108,12354,1289,24998
11/1/2018,18 - 19,4244,7148,12358,1317,25067
11/1/2018,19 - 20,4118,7176,12355,1332,24980
11/1/2018,20 - 21,3132,7049,12254,1324,23759
11/1/2018,21 - 22,2550,6746,12078,1312,22686
11/1/2018,22 - 23,2333,6338,11931,1249,21852
11/1/2018,23 - 00,2091,5848,11876,1223,21038
12/1/2018,00 - 01,1705,5336,11709,1244,19994
12/1/2018,01 - 02,1719,5149,11726,1211,19805
12/1/2018,02 - 03,1724,4983,11679,1163,19548
12/1/2018,03 - 04,1775,4921,11620,1154,19470
12/1/2018,04 - 05,2252,4977,11647,1162,20039
12/1/2018,05 - 06,2532,5686,11794,1186,21198
12/1/2018,06 - 07,3640,6593,11915,1211,23358
12/1/2018,07 - 08,4519,7201,12132,1195,25047
12/1/2018,08 - 09,4677,7253,12197,1192,25319
12/1/2018,09 - 10,4495,7164,12301,1196,25156
12/1/2018,10 - 11,4547,7188,12298,1200,25233
12/1/2018,11 - 12,4588,7146,12289,1197,25220
12/1/2018,12 - 13,4558,7094,12232,1173,25057
12/1/2018,13 - 14,4557,7061,12207,1162,24986
12/1/2018,14 - 15,4454,6972,12191,1150,24767
12/1/2018,15 - 16,4296,6870,12092,1139,24397
12/1/2018,16 - 17,4244,6892,12165,1152,24453
12/1/2018,17 - 18,4354,6865,12211,1172,24603
12/1/2018,18 - 19,4376,6864,12222,1201,24663
12/1/2018,19 - 20,3842,6637,12020,1170,23669
12/1/2018,20 - 21,2818,6470,11791,1146,22225
12/1/2018,21 - 22,2355,6142,11921,1116,21534
12/1/2018,22 - 23,1936,5816,11543,1111,20406
12/1/2018,23 - 00,1871,5283,11574,1085,19813
13-01-2018,00 - 01,1705,4665,11435,1060,18866
13-01-2018,01 - 02,1585,4299,11279,1050,18212
13-01-2018,02 - 03,1573,4072,11197,1054,17896
13-01-2018,03 - 04,1566,4140,11207,1066,17979
13-01-2018,04 - 05,1558,3989,11207,1082,17836
13-01-2018,05 - 06,1609,4052,11279,1106,18047
13-01-2018,06 - 07,1888,4398,11305,1135,18727
13-01-2018,07 - 08,2706,5212,11411,1162,20491
13-01-2018,08 - 09,3263,5836,11582,1183,21864
13-01-2018,09 - 10,3413,6305,11596,1190,22503
13-01-2018,10 - 11,3498,6562,11729,1184,22973
13-01-2018,11 - 12,3518,6591,11788,1197,23095
13-01-2018,12 - 13,3509,6661,11774,1184,23128
13-01-2018,13 - 14,3512,6694,11773,1156,23134
13-01-2018,14 - 15,3435,6794,11684,1130,23044
13-01-2018,15 - 16,3481,6889,11605,1098,23072
13-01-2018,16 - 17,3518,7191,11874,1079,23662
13-01-2018,17 - 18,3502,7378,11887,1086,23852
13-01-2018,18 - 19,3373,7392,11877,1092,23734
13-01-2018,19 - 20,3063,7117,11754,1090,23023
13-01-2018,20 - 21,2328,6669,11446,1087,21529
13-01-2018,21 - 22,1840,6059,11403,1065,20368
13-01-2018,22 - 23,1698,5567,11348,1062,19674
13-01-2018,23 - 00,1647,5106,11367,1054,19174
14-01-2018,00 - 01,1567,4369,11312,1015,18262
14-01-2018,01 - 02,1585,4439,11221,1004,18249
14-01-2018,02 - 03,1597,4438,11214,999,18249
14-01-2018,03 - 04,1607,4429,11241,1004,18282
14-01-2018,04 - 05,1622,4560,11264,1010,18458
14-01-2018,05 - 06,1836,4624,11294,1020,18773
14-01-2018,06 - 07,1928,4959,11341,1044,19272
14-01-2018,07 - 08,2051,5375,11410,1066,19901
14-01-2018,08 - 09,2515,5732,11445,1099,20791
14-01-2018,09 - 10,2918,6205,11575,1127,21824
14-01-2018,10 - 11,3040,6547,11566,1153,22306
14-01-2018,11 - 12,3268,6888,11670,1173,22999
14-01-2018,12 - 13,3168,7100,11764,1193,23226
14-01-2018,13 - 14,3179,7016,11767,1178,23141
14-01-2018,14 - 15,3308,7122,11797,1159,23387
14-01-2018,15 - 16,3465,7498,11868,1138,23969
14-01-2018,16 - 17,3709,7640,12120,1138,24607
14-01-2018,17 - 18,3749,7679,12256,1165,24849
14-01-2018,18 - 19,3568,7525,12050,1202,24345
14-01-2018,19 - 20,3301,7512,11977,1243,24032
14-01-2018,20 - 21,2605,7181,11977,1282,23045
14-01-2018,21 - 22,2289,6809,12033,1317,22448
14-01-2018,22 - 23,2116,6457,12086,1338,21997
14-01-2018,23 - 00,1826,5757,12083,1355,21021
15-01-2018,00 - 01,1635,4957,12190,1435,20217
15-01-2018,01 - 02,1608,4348,12161,1448,19564
15-01-2018,02 - 03,1699,4322,12188,1458,19668
15-01-2018,03 - 04,1788,4310,12213,1466,19777
15-01-2018,04 - 05,1942,4546,12292,1501,20281
15-01-2018,05 - 06,2246,5510,12432,1562,21749
15-01-2018,06 - 07,3268,6939,12586,1627,24420
15-01-2018,07 - 08,3775,7943,12904,1700,26322
15-01-2018,08 - 09,3738,8102,13253,1750,26842
15-01-2018,09 - 10,3895,8053,13225,1816,26989
15-01-2018,10 - 11,3755,8013,13136,1875,26780
15-01-2018,11 - 12,3583,7979,13130,1923,26614
15-01-2018,12 - 13,3466,7980,13222,1959,26627
15-01-2018,13 - 14,3464,7885,13220,1949,26518
15-01-2018,14 - 15,3317,7814,13162,1973,26266
15-01-2018,15 - 16,3394,7833,13161,2005,26393
15-01-2018,16 - 17,3356,7873,13240,2077,26546
15-01-2018,17 - 18,3476,7811,13240,2077,26604
15-01-2018,18 - 19,3186,7303,13229,2106,25825
15-01-2018,19 - 20,2935,6990,13249,2148,25321
15-01-2018,20 - 21,2669,6560,13207,2131,24567
15-01-2018,21 - 22,2388,5944,13161,2128,23621
15-01-2018,22 - 23,1886,5180,13112,2119,22296
15-01-2018,23 - 00,1549,4434,13081,2120,21183
16-01-2018,00 - 01,1455,4302,13050,2121,20927
16-01-2018,01 - 02,1477,4287,12997,2120,20881
16-01-2018,02 - 03,1424,3979,12952,2115,20471
16-01-2018,03 - 04,1471,4026,12919,2116,20532
16-01-2018,04 - 05,1673,4297,12923,2105,20998
16-01-2018,05 - 06,2014,5230,12928,2070,22241
16-01-2018,06 - 07,3106,6343,13020,2004,24473
16-01-2018,07 - 08,3682,7588,13320,1923,26513
16-01-2018,08 - 09,3552,7818,13432,1836,26638
16-01-2018,09 - 10,3627,7803,13394,1761,26585
16-01-2018,10 - 11,3662,7842,13366,1661,26530
16-01-2018,11 - 12,3684,7780,13398,1569,26430
16-01-2018,12 - 13,3575,7702,13218,1465,25960
16-01-2018,13 - 14,3666,7617,13181,1367,25830
16-01-2018,14 - 15,3575,7857,13070,1262,25764
16-01-2018,15 - 16,3655,7879,12917,1178,25629
16-01-2018,16 - 17,3768,7844,12935,1141,25688
16-01-2018,17 - 18,3917,7827,12911,1110,25766
16-01-2018,18 - 19,3942,7811,12789,1094,25635
16-01-2018,19 - 20,3921,7897,12661,1036,25514
16-01-2018,20 - 21,3822,7763,12361,1003,24949
16-01-2018,21 - 22,3604,7261,12103,983,23951
16-01-2018,22 - 23,3097,6682,11944,952,22674
16-01-2018,23 - 00,2632,5985,11872,937,21425
17-01-2018,00 - 01,2030,5358,11721,910,20019
17-01-2018,01 - 02,1907,4963,11622,902,19394
17-01-2018,02 - 03,1882,4813,11548,902,19144
17-01-2018,03 - 04,1907,4838,11493,903,19141
17-01-2018,04 - 05,1956,5000,11509,899,19363
17-01-2018,05 - 06,2172,5557,11577,896,20202
17-01-2018,06 - 07,3176,6664,11924,899,22663
17-01-2018,07 - 08,3914,7404,12239,910,24468
17-01-2018,08 - 09,4135,7694,12301,914,25044
17-01-2018,09 - 10,3961,7616,12339,907,24823
17-01-2018,10 - 11,4163,7620,12302,889,24974
17-01-2018,11 - 12,4052,7457,12265,896,24669
17-01-2018,12 - 13,3727,7373,12216,897,24213
17-01-2018,13 - 14,3622,7120,12148,889,23778
17-01-2018,14 - 15,3722,7070,12100,882,23773
17-01-2018,15 - 16,3686,7248,12129,875,23938
17-01-2018,16 - 17,3865,7173,12149,881,24068
17-01-2018,17 - 18,4253,7235,12232,921,24641
17-01-2018,18 - 19,4097,7199,12233,903,24432
17-01-2018,19 - 20,3778,7130,12204,917,24029
17-01-2018,20 - 21,3554,6793,11894,964,23206
17-01-2018,21 - 22,3246,6174,11711,946,22075
17-01-2018,22 - 23,2986,5737,11610,934,21267
17-01-2018,23 - 00,2411,4888,11539,934,19772
18-01-2018,00 - 01,1990,4345,11388,909,18632
18-01-2018,01 - 02,1763,4143,11294,902,18102
18-01-2018,02 - 03,1762,4022,11284,898,17966
18-01-2018,03 - 04,1760,3977,11289,887,17913
18-01-2018,04 - 05,1857,4262,11340,890,18349
18-01-2018,05 - 06,2105,4667,11393,890,19054
18-01-2018,06 - 07,3100,5508,11560,898,21067
18-01-2018,07 - 08,3785,6552,11957,914,23208
18-01-2018,08 - 09,3916,6702,11955,876,23449
18-01-2018,09 - 10,3764,6640,12023,886,23312
18-01-2018,10 - 11,3671,6604,11992,889,23156
18-01-2018,11 - 12,3537,6557,11990,866,22950
18-01-2018,12 - 13,3632,6560,11984,888,23064
18-01-2018,13 - 14,3569,6533,11964,887,22953
18-01-2018,14 - 15,3567,6585,11970,907,23029
18-01-2018,15 - 16,3673,6540,12049,925,23186
18-01-2018,16 - 17,4000,6752,12137,943,23832
18-01-2018,17 - 18,3963,6801,12143,949,23855
18-01-2018,18 - 19,3951,6809,12157,947,23865
18-01-2018,19 - 20,3849,6807,12167,941,23764
18-01-2018,20 - 21,3696,6484,12119,928,23226
18-01-2018,21 - 22,3249,6077,12004,906,22236
18-01-2018,22 - 23,2653,5555,11877,859,20943
18-01-2018,23 - 00,2284,4820,11512,845,19460
19-01-2018,00 - 01,1682,4456,11414,836,18387
19-01-2018,01 - 02,1637,4316,11400,816,18169
19-01-2018,02 - 03,1635,4191,11382,810,18018
19-01-2018,03 - 04,1627,4169,11373,806,17975
19-01-2018,04 - 05,1944,4408,11374,807,18533
19-01-2018,05 - 06,2245,4811,11433,807,19296
19-01-2018,06 - 07,3702,6142,11841,804,22488
19-01-2018,07 - 08,4108,6811,12017,808,23744
19-01-2018,08 - 09,4116,6940,12041,795,23892
19-01-2018,09 - 10,4081,6937,12068,791,23876
19-01-2018,10 - 11,3852,6929,12020,784,23585
19-01-2018,11 - 12,3815,6868,12024,764,23471
19-01-2018,12 - 13,3919,6972,11874,732,23497
19-01-2018,13 - 14,3963,6926,11656,730,23274
19-01-2018,14 - 15,3976,6948,11629,729,23281
19-01-2018,15 - 16,3802,7036,11513,736,23087
19-01-2018,16 - 17,3789,7119,11481,765,23154
19-01-2018,17 - 18,3881,7173,11409,768,23231
19-01-2018,18 - 19,3811,7109,11298,777,22995
19-01-2018,19 - 20,3779,7127,11230,827,22963
19-01-2018,20 - 21,3145,6916,11158,831,22049
19-01-2018,21 - 22,2500,6532,11084,785,20901
19-01-2018,22 - 23,1918,6250,10936,784,19888
19-01-2018,23 - 00,1741,5304,10674,787,18506
20-01-2018,00 - 01,1664,4760,10551,786,17761
20-01-2018,01 - 02,1614,4532,10498,783,17428
20-01-2018,02 - 03,1604,4491,10449,783,17327
20-01-2018,03 - 04,1601,4447,10394,792,17233
20-01-2018,04 - 05,1604,4431,10317,796,17148
20-01-2018,05 - 06,1640,4494,10359,803,17295
20-01-2018,06 - 07,1676,4765,10431,807,17679
20-01-2018,07 - 08,1800,5288,10628,821,18537
20-01-2018,08 - 09,2424,5884,10835,821,19965
20-01-2018,09 - 10,3726,6177,10959,801,21663
20-01-2018,10 - 11,4045,6401,10950,897,22293
20-01-2018,11 - 12,4035,6357,11016,818,22226
20-01-2018,12 - 13,3802,6524,10991,840,22157
20-01-2018,13 - 14,3727,6643,11032,792,22194
20-01-2018,14 - 15,3660,6692,11058,800,22211
20-01-2018,15 - 16,3648,6803,11086,818,22354
20-01-2018,16 - 17,3913,6929,11136,839,22816
20-01-2018,17 - 18,3937,6930,11223,858,22947
20-01-2018,18 - 19,4041,6936,11250,879,23105
20-01-2018,19 - 20,3758,6895,11172,885,22710
20-01-2018,20 - 21,3468,6673,10941,880,21962
20-01-2018,21 - 22,3164,6480,10863,871,21378
20-01-2018,22 - 23,2886,6031,10650,864,20431
20-01-2018,23 - 00,2612,5330,10541,849,19331
21-01-2018,00 - 01,1924,4733,10434,787,17878
21-01-2018,01 - 02,1747,4309,10384,791,17230
21-01-2018,02 - 03,1613,3965,10312,791,16680
21-01-2018,03 - 04,1567,3803,10270,797,16437
21-01-2018,04 - 05,1564,3754,10264,803,16386
21-01-2018,05 - 06,1568,3770,10211,807,16355
21-01-2018,06 - 07,1588,3920,10231,807,16546
21-01-2018,07 - 08,2015,4517,10296,801,17629
21-01-2018,08 - 09,2943,5302,10464,791,19499
21-01-2018,09 - 10,3560,6130,10634,769,21093
21-01-2018,10 - 11,3940,6585,10673,759,21958
21-01-2018,11 - 12,3931,6719,10784,740,22173
21-01-2018,12 - 13,3971,6675,10803,722,22171
21-01-2018,13 - 14,3739,6518,10729,711,21696
21-01-2018,14 - 15,3778,6416,10676,705,21575
21-01-2018,15 - 16,3810,6470,10674,720,21673
21-01-2018,16 - 17,4128,6777,10821,716,22442
21-01-2018,17 - 18,4305,6966,10863,722,22856
21-01-2018,18 - 19,4229,6950,10863,723,22764
21-01-2018,19 - 20,4064,6823,10906,736,22529
21-01-2018,20 - 21,3748,6507,10849,740,21845
21-01-2018,21 - 22,3063,6121,10535,747,20465
21-01-2018,22 - 23,2763,5710,10414,760,19647
21-01-2018,23 - 00,2047,4745,10375,766,17933
22-01-2018,00 - 01,1706,4506,10218,755,17185
22-01-2018,01 - 02,1673,4377,10153,768,16971
