SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
253.32,240.48,240.48,240.48,240.48,240.48,215.37,235.69,256.01,256.01,256.01,256.24,256.24,256.24,240.48,240.48,240.48
314.12,310.68,310.68,310.68,310.83,310.68,301.53,317.44,312.56,312.56,312.56,312.43,312.43,312.43,310.68,310.83,310.83
280.45,282.61,282.61,282.61,282.61,282.61,206.21,213.01,282.33,277.91,282.33,282.61,282.61,282.61,282.61,282.61,282.61
317.04,313.94,313.94,314.02,315.44,314.02,343.28,349.27,314.02,314.02,314.02,313.94,313.94,313.94,314.02,315.44,315.44
314.01,305.75,305.75,305.75,316.96,305.75,352.62,374.3,306.3,306.3,306.3,305.75,305.75,305.75,305.75,316.96,316.96
309.86,305.26,305.26,305.26,308.51,305.26,340.19,340.63,305.26,305.26,305.26,305.26,305.26,303.94,305.26,308.51,308.51
279.4,278.21,278.21,278.21,278.21,278.21,267.87,279.96,280.16,280.16,280.16,278.21,278.21,277.5,278.21,278.21,278.21
313.29,296.15,296.15,315.49,335.9,315.49,324.71,338.38,318.17,318.17,318.17,297.4,297.4,297.4,315.49,335.9,335.9
300.33,295.96,295.96,295.96,295.96,336.53,266.56,266.56,298.29,298.29,298.29,295.96,295.96,295.92,336.53,336.53,336.53
393.66,393.3,393.3,393.3,393.3,395.07,397.1,397.1,392.3,392.3,392.3,392.08,392.08,392.08,395.07,395.07,395.07
415.57,422.5,422.5,422.6,423.57,423.57,430.56,430.56,422.6,422.6,422.6,419.93,419.93,362.78,423.57,423.57,423.57
351.8,350.05,350.05,350.05,355.92,363.86,350.05,355.92,350.05,350.05,350.05,350.05,350.05,296.71,363.86,363.86,363.86
305.38,306.41,306.41,306.41,306.41,320.13,306.41,306.41,306.41,306.41,306.41,306.41,306.41,293.97,320.13,320.13,320.13
292.8,292.79,292.79,292.79,296.74,292.79,285.34,289.29,293.03,293.03,293.03,292.79,292.79,289.76,292.79,298.74,298.74
