SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
250.92,252.72,252.72,252.72,252.72,255.07,194.2,207.62,254.05,254.05,254.05,252.72,252.72,252.72,271.5,283.8,283.8
265.47,266.33,266.33,266.33,266.33,310.32,205,214.65,266.33,266.33,266.33,266.33,266.33,266.33,310.32,329.49,329.49
260.1,259.72,259.72,259.72,259.72,321.75,240.51,242.36,260.65,260.65,260.65,259.72,259.72,259.72,321.75,364.11,364.11
248.16,247.79,247.79,247.79,247.79,277.11,197.6,197.88,249.98,249.98,249.98,247.79,247.79,247.79,279.13,349.08,349.08
257.53,258.97,258.97,258.97,259.3,270.22,237.51,239.07,256.75,256.75,256.75,258.97,258.97,258.97,276.21,359.44,359.44
249.97,251.67,251.67,251.67,251.67,268.96,196.03,212.11,251.67,251.67,251.67,251.67,251.67,251.67,291.23,384.2,384.2
258.61,258.05,258.05,258.05,258.05,360.43,203.56,204.66,257.79,257.79,257.79,258.05,258.05,258.05,360.43,388.59,388.59
260.18,258.59,258.59,258.59,258.59,318.06,235.73,236.09,259.91,259.91,259.91,258.59,258.59,258.59,340.2,350.38,350.38
264.69,262.54,262.54,262.54,262.54,337.51,252.03,255.43,262.99,262.99,262.99,262.54,262.54,262.54,338.73,338.73,338.73
269.2,265.8,265.8,265.8,265.8,373.38,226.89,226.88,266.67,266.67,266.53,265.8,265.8,265.8,373.38,375.18,375.18
264.54,263.97,263.97,263.97,263.97,309,248.95,251.43,263.31,263.31,262.98,263.97,263.97,263.97,309,363.51,363.51
269.96,275.02,275.02,275.02,275.02,291.66,172.27,176.33,266.53,266.53,264.02,275.02,275.02,275.02,291.66,295.17,295.17
347.78,334.06,334.06,356.75,356.75,417.42,343.82,356.75,355.46,345.1,288.17,334.06,334.06,334.06,417.42,418.73,418.73
369.77,320.24,320.24,421.57,421.57,480.28,421.57,421.57,420.73,420.73,285.49,320.24,320.24,320.24,480.28,480.96,480.96
367.22,359,359,359,359,438.5,358.38,359,357.79,357.79,321.41,359,359,359,450.4,450.4,450.4
285.77,278.8,278.8,278.8,278.8,408.34,272.88,274.39,278.66,277.29,278.31,278.8,278.8,278.8,413.5,415.17,415.17
301.55,285.59,285.59,285.59,285.59,407.88,278.15,278.53,285.22,285.22,285.22,285.59,285.59,285.59,410.5,410.5,410.5
271.52,269.28,269.28,269.28,269.28,315.73,257.2,263.72,269.28,268.92,269.28,269.28,269.28,269.28,315.73,320.95,320.95
269.29,269.8,269.8,269.8,269.8,312.41,164.6,212.14,269.8,268.83,269.8,269.8,269.8,269.8,336.17,337.38,337.38
303.38,285.87,285.87,285.87,285.87,402.72,266.94,269.84,285.87,285.84,285.87,285.87,285.87,285.87,402.72,404.53,404.53
369.72,370.75,370.75,370.75,370.75,417.24,370.75,370.75,370.75,370.75,296.52,370.75,370.75,370.75,417.24,420.81,422.55
373.52,371.19,371.19,374.13,374.13,409.32,368.08,374.13,368.08,368.08,332.72,371.19,371.19,371.19,409.32,409.32,409.32
