SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,FRE
165.64,165.8,165.8,165.8,166.71,174.14,163.28,164.89,164.89,164.89,164.89,165.8,165.8,165.8,265.76,281.73,281.73,174.14
216.56,196.93,196.93,203.39,203.39,272.34,200.28,203.39,198.14,198.14,198.14,196.93,196.93,196.93,285.15,311.75,311.75,
254.84,244.08,244.08,248.35,257.86,265.2,248.35,266.34,236.54,236.54,236.54,244.08,244.08,242.18,268.99,309.12,309.12,
177.7,176.05,176.05,176.05,179.76,251.96,175.09,179.76,176.05,176.05,176.05,176.05,176.05,172.1,264.7,310.96,310.96,
228.82,218.96,218.96,218.96,250.95,253.12,218.96,250.95,218.96,218.96,218.96,218.96,218.96,175.23,259.64,265.73,265.73,
200.99,194.99,194.99,194.99,227.25,256.4,194.99,227.25,194.99,194.99,194.99,195.11,195.11,171.17,265.09,265.1,265.1,
157.25,153.37,153.37,153.37,153.37,194.1,123.33,128.66,153.56,153.56,153.56,168.45,168.45,164.38,197.12,197.12,197.12,
152.34,151.14,151.14,151.14,151.14,151.26,87.85,116.68,151.14,151.14,151.14,170.7,170.7,162.7,172.23,172.23,172.23,
174.75,175.23,175.23,175.23,175.23,187.27,139.88,143.71,175.23,174.95,175.23,178.52,178.52,175.2,239.57,239.57,239.57,187.27
185.2,185.46,185.46,185.46,185.46,194.46,184.15,185.46,185.46,185.46,185.46,185.46,185.46,181.86,230.38,230.38,230.38,194.46
190.86,187.16,187.16,187.16,187.16,263.68,187.16,187.16,187.16,187.16,187.16,187.16,187.16,184.89,263.68,264.44,264.44,
242.54,242,242,242,243.2,276.51,239.95,243.2,221.97,221.51,221.51,242,242,204.39,277.09,277.2,277.2,
223.8,212.88,212.88,212.88,220.53,265.55,206.57,220.53,206.71,206.71,206.71,212.88,212.88,212.88,269.38,269.46,269.46,
183.74,182.65,182.65,182.65,184.53,205.42,182.65,184.53,182.65,182.65,182.65,182.65,182.65,182.65,247.24,247.24,247.24,205.42
178.29,177.42,177.42,177.42,179.42,186.64,177.42,179.42,177.17,177.17,177.17,177.42,177.42,177.42,244.81,244.81,244.81,186.64
233.33,208.1,208.1,208.1,217.86,283.58,207.87,217.86,207.51,207.51,207.51,208.1,208.1,202.96,284.65,284.65,284.65,
191.67,186.18,186.18,186.18,193.42,264.05,186.18,193.42,186.18,186.18,183.28,186.18,186.18,186.18,264.05,266.02,266.02,
223.8,203.45,203.45,204.11,218.34,275.96,200.29,218.34,204.11,204.11,204.11,203.45,203.45,203.45,278.11,279.56,279.56,
238.97,209.53,209.53,209.53,248.37,285.9,208.73,248.37,209.53,209.53,209.53,209.53,209.53,208.97,287.94,287.94,287.94,
222.88,207.98,207.98,207.98,212.42,288.65,207.98,212.42,207.98,207.98,207.98,207.98,207.98,207.95,288.65,288.65,288.65,
187.87,187.77,187.77,187.77,187.77,195.57,181.26,187.77,187.77,187.77,187.77,187.77,187.77,187.77,247.99,247.99,247.99,195.57
184.53,184.52,184.52,184.52,184.7,184.52,184.52,184.7,184.52,184.52,184.52,184.52,184.52,184.52,234.11,235.07,235.07,184.52
218.65,219,219,219,222.88,219,219,222.88,215.98,215.98,215.98,219,219,219,265.2,265.2,265.2,
237.29,238.91,238.91,238.91,241.38,238.91,239.16,241.38,228.86,228.86,228.86,238.91,238.91,238.91,273.45,273.45,273.45,
227.42,214.23,214.23,214.23,219.9,310.21,214.23,219.9,210.76,210.76,210.76,214.23,214.23,214.23,315,315,315,
232.5,221.48,221.48,221.48,221.57,301.04,221.04,221.57,215.37,215.37,215.37,221.48,221.48,221.48,305.42,305.42,305.42,
