SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
297.74,298.25,298.25,298.25,306.33,336.43,298.16,306.33,298.16,298.16,298.16,298.25,298.25,225.72,336.43,354.52,354.52
296.04,294.82,294.82,295.02,295.02,308.96,296.14,295.02,296.79,296.79,296.79,294.82,294.82,247.3,308.96,340.47,356.49
285.95,285.37,285.37,285.37,285.37,285.88,285.37,285.37,287.07,287.07,287.07,285.37,285.37,237.59,285.88,353.76,353.76
273.87,256.46,256.46,256.46,256.46,256.46,202.62,234.72,286.31,286.31,286.31,256.46,256.46,245.74,256.46,260.58,260.58
281.74,271.32,271.32,271.32,271.32,348.14,129.75,211.3,288.97,288.97,288.97,271.32,271.32,268.42,348.14,348.14,348.14
285.11,278,278,278,278,331.11,247.47,253.03,287.42,287.42,287.42,278,278,272.04,331.11,331.29,332.66
276.44,269.85,269.85,269.85,269.85,295.92,214.03,218.31,280.59,280.59,280.59,269.85,269.85,269.85,295.92,296.74,316.85
282.34,268.51,268.51,268.51,268.51,268.51,223.63,223.73,292.41,292.41,292.41,276.2,276.2,259.24,268.51,268.51,280.93
291.07,286.85,286.85,286.96,286.96,286.96,242.84,242.84,296.62,296.62,296.62,286.85,286.85,243.35,286.96,286.96,286.96
287.43,285.24,285.24,285.24,285.24,285.46,260.59,261.19,291.1,291.1,291.1,285.24,285.24,231.77,285.46,285.46,285.46
278.16,273.45,273.45,273.45,273.45,273.45,194.59,194.59,286.45,286.45,286.45,273.45,273.45,232.66,273.45,273.45,273.45
292.08,285.88,285.88,285.88,285.88,329.27,252.74,252.74,295.05,295.05,295.05,285.88,285.88,241.64,329.27,329.27,329.11
285.39,280.55,280.55,280.55,280.55,284.16,242.43,242.57,291.79,291.79,291.79,280.55,280.55,238.38,284.16,284.16,283.76
295.07,294.49,294.49,294.49,294.49,304.46,290.06,294.67,299.8,299.54,299.54,294.49,294.49,233.4,304.46,311.5,311.5
293.52,294.83,294.83,294.83,294.97,298.36,292.19,294.14,298.4,296.29,296.29,294.83,294.83,235.85,298.36,298.36,298.3
300.03,295.96,295.96,295.96,301.35,317.33,295.75,301.55,300.4,300.4,300.4,295.96,295.96,244.55,317.33,317.33,317.33
289.17,287.56,287.56,287.56,287.56,287.56,272.18,286.19,292.01,292.01,292.01,287.56,287.56,242.24,287.56,287.56,287.56
284.35,270.98,270.98,270.98,270.98,270.98,167.4,212.11,293.26,293.06,293.06,271.71,271.71,238.4,270.98,270.98,270.98
314.67,315.86,315.86,315.86,315.86,351.84,311.14,314.89,314.36,313.8,313.8,314.9,314.9,244.22,351.84,344.21,344.21
374.44,396.81,396.81,396.81,397.48,396.81,397.48,397.48,392.41,391.91,391.91,396.81,396.81,240.42,396.39,396.39,397.06
315.11,321.71,321.71,321.71,321.71,321.71,321.71,321.71,321.13,318.74,318.74,322.45,322.45,238.18,321.43,321.43,321.43
305.28,306.72,306.72,306.72,310.64,306.72,307.02,310.63,307.92,307.92,307.92,306.81,306.81,235.27,305.05,305.05,341.1
299.84,301.84,301.84,301.84,301.84,309.69,283.06,283.06,302.8,302.8,302.8,304.34,304.34,234.44,309.69,309.69,340.02
293.33,297.33,297.33,297.33,297.33,297.33,297.44,297.44,297.44,297.44,297.44,297.33,297.33,221.57,297.33,297.33,297.33
275.56,279.13,279.13,279.13,279.13,279.13,277.67,279.13,281.36,281.36,281.36,280.7,280.7,221.93,279.13,279.13,310.27
301.14,306.03,306.03,306.03,328.68,306.03,327.63,327.82,302.32,302.32,302.32,306.64,306.64,232.02,305.54,305.54,349.61
282.26,277.07,277.07,277.07,289.61,277.07,274.58,289.61,289.58,289.58,289.58,287.74,287.74,228.8,277.07,277.07,305.25
270.99,227.11,227.11,227.11,227.11,227.11,219.24,219.24,286.15,286.15,286.15,279.93,279.93,227.86,227.11,227.11,227.11
286.05,276.3,276.3,276.3,288.73,277.32,266.59,284.57,294.26,294.26,294.26,288.78,288.78,225.16,275.32,275.32,286.74
267.92,248.04,248.04,248.04,248.04,248.04,241.15,241.56,280.94,280.94,280.94,276.68,276.68,225.82,248.04,248.04,248.04
266.93,250.8,250.8,250.8,250.8,250.8,215.14,215.63,279.85,279.85,279.85,277.64,277.64,220.71,250.4,250.4,250.4
271.86,265.03,265.03,265.03,265.03,265.03,152.57,179.6,279.38,279.38,279.38,280.6,280.6,223.08,265.03,265.03,265.03
288.75,284.79,284.79,284.79,284.79,284.79,264.15,264.43,296.29,296.29,296.29,300.29,300.29,225.97,284.79,284.79,284.79
273.09,254.78,254.78,254.78,254.78,254.78,243.72,254.78,284.06,284.06,284.06,283.61,283.61,223.89,254.78,254.78,254.78
282.87,272.22,272.22,272.22,272.22,272.22,281.36,281.89,291.34,291.34,291.34,284.27,284.27,233.98,272.22,272.22,272.22
293.13,298.45,298.45,298.45,298.45,298.45,302.04,298.52,301.62,301.62,301.62,298.58,298.58,232.21,298.45,298.45,298.45
291.02,303.44,303.44,303.44,303.44,303.44,303.45,303.45,294.78,294.78,294.78,303.44,303.44,230.58,303.44,303.44,303.44
267.07,265.67,265.67,265.67,265.67,265.67,258.3,255.48,272.29,272.29,272.47,267.62,267.62,228.9,265.67,265.67,265.67
261.61,256.29,256.29,256.29,256.29,256.29,262.51,262.52,270.39,270.39,270.39,265.54,265.54,227.56,256.29,256.29,256.29
280.87,283.29,283.29,283.29,283.29,283.29,290.24,287.6,283.61,283.61,283.61,285.45,285.45,234.48,283.29,283.29,283.29
297.42,312.15,312.15,312.15,312.15,312.15,326.13,321.23,289.6,289.6,289.6,315.99,315.99,231.46,311.96,311.96,311.96
292,327.86,327.86,327.86,327.86,327.86,305.88,305.88,282.75,282.75,282.75,327.88,327.88,235.86,327.86,327.86,327.86
288.27,316.71,316.71,316.71,316.71,316.71,299.47,316.71,281.83,281.02,281.1,316.71,316.71,237.49,316.57,316.57,316.57
279.14,291.71,291.71,291.71,291.71,295.08,287.53,289.73,284.94,276.02,276.3,293.95,293.95,236.47,294.48,294.48,294.48
259.02,259.07,259.07,259.07,259.07,259.07,285.82,286,262.29,262.29,262.29,260.94,260.94,232.37,259.07,259.07,259.07
259.08,261.04,261.04,261.04,261.04,261.04,264.56,265.58,261.58,261.58,261.58,261.04,261.04,233.12,261.04,261.04,261.04
292.3,323.38,323.38,323.38,328.81,323.38,339.22,332.92,278.45,278.45,278.45,323.38,323.38,234.52,323.38,328.81,328.81
269.87,270.14,270.14,270.14,309.4,270.14,289.42,351.04,271.23,271.23,271.23,270.14,270.14,231.28,270.14,309.4,309.4
261.38,257.11,257.11,257.11,279.77,286.59,134.36,279.47,264.23,264.23,264.23,258.14,258.14,234.84,286.59,303.67,303.67
266.71,261.42,261.42,261.42,277.89,296.28,219.73,263.37,270.01,270.01,270.01,268.16,268.16,232.24,296.28,296.28,296.28
267.99,277.31,277.31,277.31,299.3,309.3,224.53,293.01,268.93,268.93,268.93,279.18,279.18,233.9,309.3,309.3,309.3
268.1,271.66,271.66,271.66,271.66,273.01,271.66,271.66,271.66,271.66,271.66,271.44,271.44,233.54,273.01,273.01,273.01
250.91,245.02,245.02,245.02,245.02,245.02,255.28,258,259.35,259.35,259.35,245.6,245.6,231.63,245.02,245.02,245.02
248.99,235.88,235.88,235.88,235.88,252.51,219.42,232.59,257.6,257.6,257.6,245.33,245.33,233.23,252.51,252.51,252.51
245.78,215,215,215,215,223.32,211.99,215,259.19,259.19,259.19,246.33,246.33,226.95,223.32,223.32,223.32
261.04,260.63,260.63,260.63,260.63,281.37,256.22,256.22,263.64,263.64,263.64,260.82,260.82,235.21,281.37,281.37,281.37
260.8,258.34,258.34,258.34,258.34,310.1,247.95,247.95,263.64,263.64,263.64,258.8,258.8,233.42,310.1,310.1,310.1
267.09,270.52,270.52,270.52,270.52,301.03,270.52,270.52,269.28,269.28,269.28,269.28,269.28,235.02,301.03,301.03,301.03
266.49,269.67,269.67,269.67,269.67,270.26,268.18,268.17,269.7,269.7,269.7,269.24,269.24,234.76,270.26,270.26,270.26
272.83,276.41,276.41,276.41,276.41,276.41,276.41,276.71,276.41,276.41,276.41,276.41,276.41,234.25,276.41,276.41,276.41
272.55,274.92,274.92,274.92,274.92,282.14,268.75,269.26,276.11,276.01,276.11,274.92,274.92,235.12,282.14,282.14,282.14
311.94,321.63,321.63,321.63,321.63,327.73,321.51,321.63,317.76,317.06,317.76,317.61,317.61,235.38,327.73,327.73,327.73
321.19,343.67,343.67,343.67,344.75,346.43,345.04,345.04,337.18,336.02,337.18,324.81,324.81,236.42,346.43,346.43,347.51
283.39,286.6,286.6,286.6,297.95,305.21,286.6,297.95,287.43,287.43,287.43,286.43,286.43,233.28,305.21,312.42,313.7
259.74,193.66,193.66,193.66,193.66,318.6,175.56,193.78,275.8,275.8,275.8,272.79,272.79,224.93,318.6,318.6,318.6
248.59,136.75,136.75,136.75,136.75,259.81,101.96,104.73,274.08,274.08,274.12,271.84,271.84,228.4,259.81,259.81,259.81
263.38,254.1,254.1,254.1,254.1,254.79,100.52,158.78,276.17,275.93,276.17,275.24,275.24,231.58,254.79,254.79,254.79
294.85,309.41,309.41,309.41,309.41,377.46,255.88,271.7,311.2,281.71,311.2,304.46,304.46,235.41,377.46,377.46,377.46
329.41,338.93,338.93,338.93,338.93,354.36,339.21,339.33,338.93,315.78,338.93,337.49,337.49,233.49,354.36,354.36,354.36
357.21,372.21,372.21,372.21,372.21,372.21,382.82,382.82,372.21,327.09,372.21,372.21,372.21,239,372.21,372.21,372.21
342.6,349.48,349.48,349.48,351.47,376.54,346.39,351.56,348.19,326.45,348.19,349.2,349.2,231.03,376.54,376.54,376.54
340.31,335.13,335.13,335.13,335.71,442.83,335.13,335.71,332.13,327.29,332.13,335.03,335.03,233.06,377.41,377.41,377.41
293.06,298.78,298.78,298.78,298.78,298.78,298.28,299.03,298.78,298.78,298.78,298.92,298.92,231.11,298.78,298.78,298.78
273.55,279.22,279.22,279.22,279.22,279.22,270.31,274.18,279.37,277.53,280.73,280.73,280.73,231.28,279.22,279.22,279.22
262.49,259.38,259.38,259.38,259.38,259.38,52.45,61.97,276.33,276.33,278.26,278.26,278.26,232.85,259.38,259.38,259.38
294.88,295.42,295.42,295.42,295.42,296.08,266.04,266.41,302.49,300.93,302.49,300.02,300.02,235.35,296.08,296.08,296.08
294.15,298.92,298.92,298.92,298.92,298.92,298.92,298.92,300.17,300.17,300.17,298.92,298.92,237.46,294.48,294.48,294.48
285.01,283.67,283.67,283.67,283.67,283.67,283.2,283.2,287.7,287.7,287.7,286.42,286.42,254.15,283.67,283.67,283.67
290.99,287.32,287.32,287.32,287.32,287.32,305.74,305.74,294.78,294.78,294.78,293.09,293.09,256.28,287.32,287.32,287.32
291.52,286.65,286.65,286.65,286.65,286.65,316.03,316.29,293.99,293.99,293.99,289.93,289.93,256.74,286.65,286.65,286.65
273.37,273.02,273.02,273.02,273.02,272.46,273.59,273.62,275.47,275.47,275.47,273.99,273.99,256.45,272.46,272.46,272.46
290.52,289.51,289.51,289.51,289.51,289.51,290.27,290.1,291.96,291.96,291.96,291.96,291.96,288.03,289.51,289.51,289.51
336.06,339.78,339.78,339.78,339.78,339.78,347.33,347.33,322.7,322.7,322.7,339.78,339.78,283.07,339.78,339.78,339.78
350.91,355.88,355.88,355.88,355.88,355.88,368.39,368.39,339.41,339.12,339.41,355.88,355.88,286.14,355.58,355.58,355.58
326.83,332.31,332.31,332.31,332.31,332.31,332.13,332.31,314.16,314.16,314.16,332.46,332.46,301,331.59,331.59,331.59
300.53,306.63,306.63,306.63,306.63,322.71,293.45,306.62,302.54,293.54,298.16,307,307,281.43,322.71,322.71,322.71
290.16,292.26,292.26,292.26,292.26,292.26,292.1,293.3,292.26,292.1,292.26,292.26,292.26,258.13,292.26,331.37,331.37
274.8,276.16,276.16,276.16,276.16,276.16,276.16,278.01,278.15,278.15,278.15,277.82,277.82,246.22,276.16,276.16,276.16
307.67,317.83,317.83,317.83,321.8,323.71,316.37,321.84,303.92,303.92,303.92,307.35,307.35,257.26,323.71,329.27,329.27
291.71,303.53,303.53,303.53,303.53,329.81,291,303.53,288.96,288.96,288.96,303.53,303.53,252.7,329.81,331.5,331.5
271.29,294.84,294.84,294.84,294.84,296.04,294.84,294.84,265.04,265.04,265.04,269.5,269.5,250.19,296.04,324.09,324.09
268.32,272.81,272.81,272.81,272.81,315.55,261.61,277.78,263.53,263.53,263.19,272.81,272.81,243.79,315.55,331.68,331.68
273.43,307.74,307.74,307.74,313.65,307.74,314.55,314.55,264.24,264.24,260.01,307.74,307.74,252.24,307.74,322.01,322.01
232.84,234.8,234.8,234.8,234.8,235.91,234.79,235.21,232.41,232.41,232.41,234.8,234.8,231.58,235.91,276.23,276.23
184.86,183.31,183.31,183.31,183.31,187.03,200.66,203.58,183.31,183.31,183.31,183.31,183.31,183.31,187.03,187.03,187.03
272.11,305.92,305.92,307.71,318.79,341.67,341.61,341.61,252.46,252.46,252.46,305.92,305.92,252.47,341.67,352.14,352.14
263.15,288.4,288.4,293.84,304.22,304.04,317.03,323.94,251.47,251.47,251.47,283.88,283.88,251.61,304.04,382.68,382.68
254.79,263.75,263.75,263.75,264.95,349.82,257.94,264.95,247.3,247.3,245.79,262,262,240.17,349.82,385.31,385.31
242.59,242.06,242.06,242.06,242.06,256.39,241.39,243.54,241.09,241.09,241.09,242.06,242.06,236.21,256.39,366.98,366.98
257.57,283.48,283.48,283.48,283.8,283.48,310.3,310.3,250.22,250.22,248.87,280.11,280.11,239.27,283.48,405.21,405.21
245.3,248.93,248.93,248.93,248.93,279.91,264.83,266.34,243.88,243.88,241.59,248.82,248.82,237.15,279.91,302.2,302.2
204.18,204.78,204.78,204.78,204.78,206.11,195.08,209.81,204.78,204.78,203.91,204.78,204.78,202.93,206.11,206.11,206.11
274.67,333.98,333.98,333.98,337.46,333.98,346.56,346.56,249.55,249.55,242.29,333.98,333.98,232.44,333.98,337.46,337.46
289.36,359.2,359.2,359.2,359.2,370.97,359.51,359.51,261.44,261.44,261.25,359.2,359.2,237.21,370.97,379.88,379.88
