SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,FRE
254.48,234.89,234.89,234.89,234.89,234.89,153.81,171.64,256.82,256.82,256.82,268.07,268.07,268.07,234.89,312.14,312.14,
249.31,235.5,235.5,235.5,235.5,237.22,46.85,109.49,259.64,259.64,259.64,271.4,271.4,271.4,237.22,247.5,247.5,
253.5,227.53,227.53,227.53,227.53,229.95,144.61,146.59,257.12,257.08,257.12,268.71,268.71,268.71,229.95,267.69,267.69,
267.22,268.45,268.45,268.45,268.45,271.6,200.15,204.74,267,266.79,267,271.45,271.45,271.45,278.77,278.77,278.77,
347.33,314.05,314.05,365.36,365.36,391.93,361.05,365,331.95,331.95,295.91,314.05,314.05,314.05,391.93,398.67,398.67,
281.73,282.87,282.87,282.87,282.87,307.65,277.4,286.92,274.93,274.93,274.93,282.87,282.87,282.87,307.65,365.43,365.43,
288.27,295.12,295.12,300.02,304.47,310.7,275.53,304.47,273.12,273.12,273.12,295.7,295.7,295.7,310.7,363.22,363.22,
264.71,268.05,268.05,268.05,268.05,281.02,234.5,268.05,255.35,255.35,255.35,271.21,271.21,271.22,281.02,379.58,379.58,
261.58,267.84,267.84,267.84,267.84,312.79,218.92,267.84,256.62,250.49,256.62,269.16,269.16,269.16,312.79,371.7,371.7,
251.45,264.02,264.02,264.02,264.02,272.44,141.78,264.02,246.2,245.05,246.2,264.24,264.24,264.35,275.28,368.17,368.17,
246.43,253.56,253.56,253.56,253.56,260.18,35.67,253.56,244.96,241.26,244.96,261.81,261.81,261.82,260.18,374.8,374.8,
279.64,281.88,281.88,281.88,281.88,479.54,107.1,275,270.72,253.15,269.2,282.06,282.06,282.06,479.54,492.45,492.45,
282.85,315.23,315.23,315.23,315.23,460,222.84,294.16,250.24,250.24,250.24,315.23,315.23,315.23,460,486.64,486.64,
280.29,282.3,282.3,282.3,282.3,321.88,232.11,247.51,272.54,260.83,269.72,282.86,282.86,282.86,321.88,479.82,479.82,
266.8,276.78,276.78,276.78,276.78,337.02,220.1,242.58,258.16,247.86,258.16,277.22,277.22,277.22,337.02,386.58,386.58,
265.53,271.98,271.98,271.98,271.98,315.21,192.83,248.37,257.45,252.41,257.45,274.76,274.76,274.76,315.21,379.55,379.55,
264.19,268.38,268.38,268.38,268.38,268.71,256.36,271.84,256.99,256.89,256.99,269.76,269.76,269.76,268.71,365.88,365.88,
264.12,264.39,264.39,264.39,264.39,264.39,254.3,264.39,262.72,262.72,262.72,268.51,268.51,268.51,264.39,303.05,303.05,
322.44,294.13,294.13,308.06,320.04,360.28,322.56,322.56,308.06,308.06,300.03,294.13,294.13,294.13,360.28,379.81,379.81,
333.57,316.64,316.64,329.51,333.4,343.68,379.59,380.25,280.28,280.28,280.28,316.64,316.64,316.64,343.68,379.54,379.54,
366.33,370.74,370.74,378.22,388.14,383.05,389.58,393,278.45,278.45,278.45,370.74,370.74,370.74,383.05,402.95,402.95,
373.97,384.32,384.32,387.18,394.47,391.47,393.78,396.27,291.33,291.33,291.33,384.32,384.32,384.32,391.47,415.44,415.71,
374.37,364.31,364.31,375.12,382.04,383.42,373.72,385.42,366.95,366.95,366.95,364.31,364.31,364.31,383.42,413.41,413.41,
265.6,266.96,266.96,266.96,266.96,270.99,257.97,266.96,263.43,263.24,263.43,268.77,268.77,268.77,270.99,347.65,347.65,
267.5,268.32,268.32,268.32,270.78,268.32,262.23,270.78,264.52,264.52,264.52,271.99,271.99,271.99,268.32,365.66,365.66,
271.72,270.63,270.63,270.63,270.63,352.61,263.86,270.63,265.21,264.81,265.21,271.49,271.49,271.49,352.61,401.56,401.56,
278.22,271.69,271.69,272.43,279.06,389.98,255.76,287.31,272.2,271.92,272.2,273.54,273.54,273.54,389.98,426.76,426.76,
259.23,259.05,259.05,259.05,259.05,302.8,244.6,259.05,256.84,254.95,256.84,261.19,261.19,261.19,302.8,382.32,382.32,
257.42,254.95,254.95,254.95,254.95,296.07,248.24,249.79,254.95,254.95,254.95,261.02,261.02,261.02,296.07,362.84,362.84,
283.87,278.8,278.8,282.71,282.71,313.79,282.71,282.71,282.71,282.71,282.71,279.34,279.34,279.34,313.79,362.47,362.47,
262.55,262.4,262.4,262.4,262.4,262.4,262.4,262.4,262.4,262.4,262.4,263.68,263.68,263.68,262.4,358.54,358.54,
260.17,259.43,259.43,259.43,259.43,259.43,259.43,259.43,259.43,259.43,259.43,265.86,265.86,265.86,259.43,276.64,276.64,
