Elspot Prices in SEK/MWh,,,,,,,,,,,,,,,,,,,
Data was last updated 07-02-2017,,,,,,,,,,,,,,,,,,,
,Hours,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,FRE
1/1/2015,00 - 01,259.14,258.19,258.19,258.19,258.19,258.19,235.94,258.19,258.38,258.38,258.38,265.55,265.55,265.55,258.19,283.18,283.18,
1/1/2015,01 - 02,251.59,220.38,220.38,220.38,220.38,220.38,172.47,172.47,255.27,255.27,255.27,264.51,264.51,264.51,220.38,279.03,279.03,
1/1/2015,02 - 03,247.35,182.28,182.28,182.28,182.28,182.28,151.26,151.26,253.95,253.95,253.95,263.85,263.85,263.85,182.28,278.75,278.75,
1/1/2015,03 - 04,244.71,166.53,166.53,166.53,166.53,166.53,137.68,137.68,253.01,253.01,253.01,263.47,263.47,263.47,166.53,278.19,278.19,
1/1/2015,04 - 05,244.33,165.31,165.31,165.31,165.31,165.31,140.98,140.98,252.82,252.82,252.82,263.57,263.57,263.57,165.31,165.31,165.31,
1/1/2015,05 - 06,247.44,170.4,170.4,170.4,170.4,170.4,136.74,136.74,254.33,254.33,254.33,264.7,264.7,264.7,170.4,287.8,287.8,
1/1/2015,06 - 07,252.82,237.92,237.92,237.92,237.92,237.92,101.47,101.47,255.27,255.27,255.27,267.72,267.72,267.72,237.92,287.71,287.71,
1/1/2015,07 - 08,252.91,252.72,252.72,252.72,252.72,252.72,113.25,113.25,252.72,252.72,252.72,268.57,268.57,268.57,252.72,287.8,287.8,
1/1/2015,08 - 09,254.23,254.33,254.33,254.33,254.33,254.33,116.84,116.84,254.33,254.33,254.33,268.47,268.47,268.47,254.33,287.9,287.9,
1/1/2015,09 - 10,252.16,247.91,247.91,247.91,247.91,247.91,132.4,132.4,254.42,254.42,254.42,268.66,268.66,268.66,247.91,247.91,247.91,
1/1/2015,10 - 11,252.25,245.75,245.75,245.75,245.75,245.75,138.43,138.43,255.18,255.18,255.18,268.76,268.76,268.76,245.75,245.75,245.75,
1/1/2015,11 - 12,252.44,241.03,241.03,241.03,241.03,241.03,151.63,151.63,255.84,255.84,255.84,269.04,269.04,269.04,241.03,241.03,241.03,
1/1/2015,12 - 13,252.63,244.33,244.33,244.33,244.33,244.33,151.63,151.63,255.46,255.46,255.46,269.42,269.42,269.42,244.33,244.33,244.33,
1/1/2015,13 - 14,250.74,239.71,239.71,239.71,239.71,239.71,151.35,239.71,254.7,254.7,254.7,269.7,269.7,269.7,239.71,239.71,239.71,
