Elspot Prices in SEK/MWh,,,,,,,,,,,,,,,,,,
Data was last updated 12-11-2015,,,,,,,,,,,,,,,,,,
,Hours,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
1/1/2014,00 - 01,253.39,254.64,254.64,254.64,254.64,254.64,134.56,134.56,258.19,258.19,258.19,254.64,254.64,254.64,254.64,284.74,284.74
1/1/2014,01 - 02,248.77,249.4,249.4,249.4,249.4,249.4,115.11,115.11,255.88,255.88,255.88,249.4,249.4,249.4,249.4,284.39,284.39
1/1/2014,02 - 03,241.22,243.18,243.18,243.18,243.18,243.18,107.38,107.38,252.42,252.42,252.42,243.18,243.18,243.18,243.18,243.18,243.18
1/1/2014,03 - 04,231.37,232.79,232.79,232.79,232.79,232.79,103.91,103.91,245.4,245.4,245.4,232.79,232.79,232.79,232.79,232.79,232.79
1/1/2014,04 - 05,223.46,230.74,230.74,230.74,230.74,230.74,103.56,103.56,230.74,230.74,230.74,230.74,230.74,230.74,230.74,230.74,230.74
1/1/2014,05 - 06,227.19,234.3,234.3,234.3,234.3,234.3,100.81,100.81,234.3,234.3,234.3,234.3,234.3,234.3,234.3,234.3,234.3
1/1/2014,06 - 07,232.08,237.67,237.67,237.67,237.67,237.67,87.48,87.48,237.67,237.67,237.67,237.67,237.67,237.67,237.67,237.67,237.67
1/1/2014,07 - 08,236.43,241.05,241.05,241.05,241.05,241.05,182.16,182.16,241.05,241.05,241.05,241.05,241.05,241.05,241.05,241.05,241.05
1/1/2014,08 - 09,236.87,239.54,239.54,239.54,239.54,239.54,225.59,239.54,239.54,239.54,239.54,239.54,239.54,239.54,239.54,239.54,239.54
1/1/2014,09 - 10,234.47,235.72,235.72,235.72,235.72,235.72,226.04,235.72,235.72,235.72,235.72,235.72,235.72,235.72,247.17,311.3,311.3
1/1/2014,10 - 11,244.69,245.04,245.04,245.04,245.04,245.04,218.75,245.04,245.04,245.04,245.04,245.04,245.04,245.04,272.49,311.39,311.39
1/1/2014,11 - 12,252.86,252.5,252.5,252.5,252.5,252.5,237.67,252.5,252.5,252.5,252.5,252.5,252.5,252.5,285.01,311.48,311.48
1/1/2014,12 - 13,254.55,254.72,254.72,254.72,254.72,254.72,238.65,254.72,254.72,254.72,254.72,254.72,254.72,254.72,290.87,311.48,311.48
1/1/2014,13 - 14,256.06,255.97,255.97,255.97,255.97,255.97,255.97,255.97,255.97,255.97,255.97,255.97,255.97,255.97,295.49,311.39,311.39
1/1/2014,14 - 15,258.19,258.1,258.1,258.1,258.1,258.1,258.1,258.1,258.1,258.1,258.1,258.1,258.1,258.1,305.88,311.39,311.39
1/1/2014,15 - 16,261.12,261.03,261.03,261.03,261.03,262.1,247.62,261.03,261.03,261.03,261.03,261.03,261.03,261.03,311.74,311.74,311.74
1/1/2014,16 - 17,279.59,278.79,278.79,278.79,278.79,287.59,285.19,278.79,278.79,278.79,278.79,278.79,278.79,278.79,315.21,315.21,315.21
1/1/2014,17 - 18,285.54,285.01,285.01,285.01,285.01,295.4,292.03,292.03,285.01,285.01,285.01,285.01,285.01,285.01,311.74,311.74,311.74
1/1/2014,18 - 19,281.64,280.84,280.84,280.84,280.84,301.71,286.17,286.17,280.84,280.84,280.84,280.84,280.84,280.84,311.66,311.66,311.66
1/1/2014,19 - 20,272.13,272.04,272.04,272.04,272.04,276.75,272.04,272.04,272.04,272.04,272.04,272.04,272.04,272.04,310.94,319.83,319.83
1/1/2014,20 - 21,260.32,260.59,260.59,260.59,260.59,260.59,254.37,260.59,260.59,260.59,260.59,260.59,260.59,260.59,303.84,311.21,311.21
1/1/2014,21 - 22,257.57,259.25,259.25,259.25,259.25,269.73,178.43,259.25,259.25,259.25,259.25,259.25,259.25,259.25,288.39,293.18,293.18
1/1/2014,22 - 23,252.33,255.08,255.08,255.08,255.08,255.08,134.11,255.08,255.08,255.08,255.08,255.08,255.08,255.08,255.08,255.08,255.08
1/1/2014,23 - 00,240.25,247.26,247.26,247.26,247.26,247.26,115.02,141.22,247.26,247.26,247.26,247.26,247.26,247.26,247.26,284.66,284.66
2/1/2014,00 - 01,241.58,247.8,247.8,247.8,247.8,247.8,68.03,68.03,247.8,247.8,247.8,247.8,247.8,247.8,247.8,293.18,293.18
2/1/2014,01 - 02,231.45,239.27,239.27,239.27,239.27,239.27,62.35,62.35,239.27,239.27,239.27,239.27,239.27,239.27,239.27,258.45,258.45
2/1/2014,02 - 03,225.42,234.21,234.21,234.21,234.21,234.21,17.05,17.05,234.21,234.21,234.21,234.21,234.21,234.21,234.21,258.28,258.28
2/1/2014,03 - 04,222.22,235.9,235.9,235.9,235.9,235.9,-0.44,-0.44,235.9,235.9,235.9,235.9,235.9,235.9,235.9,258.37,258.37
2/1/2014,04 - 05,228.97,241.14,241.14,241.14,241.14,241.14,0.53,0.53,241.14,241.14,241.14,241.14,241.14,241.14,241.14,319.83,319.83
2/1/2014,05 - 06,248.68,252.33,252.33,252.33,252.33,258.28,62.7,62.7,252.33,252.33,252.33,252.33,252.33,252.33,258.28,258.28,258.28
2/1/2014,06 - 07,259.61,260.5,260.5,260.5,260.5,350.65,104.8,260.5,260.5,260.5,260.5,260.5,260.5,260.5,350.65,350.65,350.65
2/1/2014,07 - 08,266.09,265.2,265.2,265.2,265.2,348.6,189.27,265.2,265.2,265.2,265.2,265.2,265.2,265.2,348.6,367.43,367.43
2/1/2014,08 - 09,271.78,270.36,270.36,270.36,270.36,324.18,270.36,270.36,270.36,270.36,270.36,270.36,270.36,270.36,324.18,354.11,354.11
