Elspot Prices in SEK/MWh,,,,,,,,,,,,,,,,,,
Data was last updated 31-12-2018,,,,,,,,,,,,,,,,,,
,Hours,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
1/1/2018,00 - 01,258.67,258.86,258.86,258.86,258.86,258.86,214.33,258.86,258.86,258.86,258.86,258.86,258.86,258.86,258.86,258.86,258.86
1/1/2018,01 - 02,259.85,259.85,259.85,259.85,259.85,259.85,259.85,259.85,259.85,259.85,259.85,259.85,259.85,259.85,259.85,259.85,259.85
1/1/2018,02 - 03,256.5,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6
1/1/2018,03 - 04,242.15,242.84,242.84,242.84,242.84,242.84,242.84,242.84,242.84,242.84,242.84,242.84,242.84,242.84,242.84,242.84,242.84
1/1/2018,04 - 05,242.54,243.23,243.23,243.23,243.23,243.23,243.23,243.23,243.23,243.23,243.23,243.23,243.23,243.23,243.23,243.23,243.23
1/1/2018,05 - 06,238.32,177.07,177.07,177.07,177.07,177.07,177.07,177.07,243.43,243.43,243.43,242.54,242.54,242.54,177.07,177.07,177.07
1/1/2018,06 - 07,237.73,174.8,174.8,174.8,174.8,174.8,100.08,100.08,245.59,245.59,245.59,245.59,245.59,245.59,174.8,174.8,174.8
1/1/2018,07 - 08,238.81,175,175,175,175,175,175,175,252.77,252.77,252.77,251.78,251.78,251.78,175,175,175
1/1/2018,08 - 09,237.43,194.27,194.27,194.27,194.27,194.27,194.27,194.27,250.51,250.51,250.51,250.51,250.51,250.51,194.27,194.27,194.27
1/1/2018,09 - 10,238.51,203.81,203.81,203.81,203.81,203.81,203.81,203.81,251.1,251.1,251.1,251.1,251.1,251.1,203.81,203.81,203.81
1/1/2018,10 - 11,254.05,243.43,243.43,243.43,243.43,243.43,243.43,243.43,256.31,256.31,256.31,256.31,256.31,256.31,243.43,243.43,243.43
1/1/2018,11 - 12,256.21,252.47,252.47,252.47,252.47,252.47,252.47,252.47,256.8,256.8,256.8,256.8,256.8,256.8,252.47,252.47,252.47
1/1/2018,12 - 13,254.24,236.84,236.84,236.84,236.84,236.84,162.81,196.53,257.19,257.19,257.19,257.19,257.19,257.19,236.84,236.84,236.84
1/1/2018,13 - 14,255.23,245.89,245.89,245.89,245.89,245.89,129.87,245.89,257.49,257.49,257.49,257.49,257.49,257.49,245.89,245.89,245.89
1/1/2018,14 - 15,255.91,253.75,253.75,253.75,253.75,253.75,89.96,253.75,257.49,257.49,257.49,257.49,257.49,257.49,253.75,253.75,253.75
1/1/2018,15 - 16,259.85,260.14,260.14,260.14,260.14,260.14,130.66,260.14,260.14,260.14,260.14,260.14,260.14,260.14,260.14,260.14,260.14
1/1/2018,16 - 17,265.65,265.75,265.75,265.75,265.75,265.75,265.75,265.75,265.75,265.75,265.75,265.75,265.75,265.75,265.75,265.75,265.75
1/1/2018,17 - 18,269.68,269.68,269.68,269.68,269.68,269.68,269.68,269.68,269.68,269.68,269.68,269.68,269.68,269.68,269.68,269.68,269.68
