Elspot prices in SEK/MWh,,,,,,,,,,,,,,,,,
Data was last updated 31-12-2018,,,,,,,,,,,,,,,,,
,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
14 - Jan,296.87,290.16,290.16,294.33,294.35,355.49,267.37,274.37,293.24,292.76,281.01,290.16,290.16,290.16,362.07,379.5,379.55
14 - Feb,267.98,267.18,267.18,267.18,277.7,302.75,254.85,266.74,267.21,264.9,265.88,268.92,268.92,269.04,308.3,378.69,378.82
14 - Mar,237.12,235.27,235.27,235.29,242.39,276.78,231.01,237.61,234.46,233.36,233.12,241.38,241.38,241.38,279.98,368.89,368.89
14 - Apr,230.68,245.58,245.58,245.58,245.83,284.97,254.31,259.7,212.6,208.02,210,250.1,250.1,248.7,285.99,398.42,398.42
14 - May,237.55,317.09,317.09,317.09,317.14,330.75,301.15,318.66,174.11,173.92,174.11,311.18,311.18,311.22,332.79,465.13,465.13
14 - Jun,229.08,286.09,286.09,293.53,294.51,322.18,289.83,297.57,172.4,172.44,172.36,279.84,279.84,272.91,325.71,499.2,499.2
14 - Jul,263.3,274.68,274.68,274.68,275.58,339.88,286.35,286.69,247.12,247.12,246.33,273.64,273.64,270.57,407.75,529.22,529.22
14 - Aug,294.69,317.4,317.4,317.49,318.04,352.68,295.1,317.27,273.57,273.65,272.61,304.82,304.82,304.54,359.31,508.49,508.49
14 - Sep,321.08,335.34,335.34,335.34,336.42,352.51,336.45,346.27,305.02,305.01,305.01,334.94,334.94,334.54,395.21,528.77,528.77
14 - Oct,280.5,286.55,286.55,286.58,286.58,336.67,275.87,294.93,252.41,252.41,252.41,298.27,298.27,299.47,368.65,492.46,493.29
14 - Nov,276.01,278.57,278.57,283.26,284.67,327.19,284.44,301.57,259.17,258.01,259,293.33,293.33,293.33,327.19,465.9,466.01
14 - Dec,297.92,296,296,301.29,310.92,349.44,272.22,310.01,293.24,292.01,292.43,296.46,296.46,296.46,352.15,459.45,459.45
